pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Rutooma,RWAMUJURA,Mitooma,1564.2,33.0,15.0,0.8,,,,,,,,,,70.0,150.0,
Nyarwanya B,KATAGATA,Mitooma,1581.9,40.0,60.0,0.3,50.0,,,,,,,,,100.0,50.0,
Kaniampiiha,KASHASHA,Mitooma,0.0,52.0,30.0,1.5,115.0,,2.0,,35.0,,,7.0,40.0,30.0,200.0,
Itara,KATAGATA,Mitooma,1545.9,52.0,40.0,1.75,80.0,,,,,,,8.0,,120.0,100.0,
Kigimbi B,RYENGYERERO,Mitooma,0.0,39.0,10.0,1.3,15.0,,,,,,,,,,,
Rwengyerero B,RYENGYERERO,Mitooma,1624.9,52.0,80.0,1.75,60.0,,,,,,,,,100.0,150.0,
Kigimbi A,RYENGYERERO,Mitooma,1585.4,43.0,10.0,5.5,170.0,,,,,470.0,,,,300.0,,
Rwamujura,RWAMUJURA,Mitooma,1617.1,56.0,60.0,0.575,60.0,,,,,,,4.0,,60.0,130.0,
Rwengyerero A,RYENGYERERO,Mitooma,1587.1,38.0,10.0,2.3,50.0,,,,,,,,,100.0,100.0,
Kibingo,KASHASHA,Mitooma,1165.7,38.0,15.0,2.0,70.0,,,,18.0,,,7.0,,60.0,50.0,
Buhasha A1,RYENGYERERO,Mitooma,0.0,49.0,60.0,0.0,40.0,,,,,,,,,50.0,60.0,
Nyarwanya B,KATAGATA,Mitooma,1563.1,80.0,10.0,1.4,40.0,,,,,,,,,144.0,30.0,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,49.0,68.0,0.5,33.0,,,,,,,1.0,75.0,,,
Nyarushinya,KASHASHA,Mitooma,1145.9,42.0,120.0,1.75,110.0,,,,,,,,,70.0,500.0,
Buhasha A1,RYENGYERERO,Mitooma,1591.6,53.0,20.0,1.25,190.0,,,,,,,2.0,,60.0,100.0,
Nyarwanya A,KATAGATA,Mitooma,1609.4,74.0,45.0,2.8,,,,,,,,,,,200.0,
Rwamujura,RWAMUJURA,Mitooma,1597.2,72.0,60.0,0.25,50.0,,,,,,,,,200.0,40.0,
Katagata,KATAGATA,Mitooma,1533.9,44.0,30.0,1.17,,,,,,,,,,0.0,,
Kigimbi A,RYENGYERERO,Mitooma,1553.8,47.0,10.0,3.75,80.0,,,,,,,,,100.0,150.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,38.0,30.0,1.0,,,,,,,,,,,,
Nyarwanya B,KATAGATA,Mitooma,1599.9,38.0,120.0,1.7,60.0,,,,,,,2.0,,100.0,100.0,
Rutooma,RWAMUJURA,Mitooma,1624.9,30.0,20.0,0.7000000000000001,,,,,,,,,,70.0,,
Kigimbi A,RYENGYERERO,Mitooma,1586.8,80.0,30.0,1.75,80.0,,,,,,,,,150.0,100.0,
Rwamujura,RWAMUJURA,Mitooma,1537.0,29.0,45.0,0.325,85.0,,,,,,,4.0,,300.0,300.0,
Rucururu,RWAMUJURA,Mitooma,1547.5,58.0,150.0,1.75,130.0,,,,,,,4.0,,60.0,100.0,
Kibingo,KASHASHA,Mitooma,1182.4,30.0,10.0,0.8,,,,,,,,,,100.0,,
Mutanoga,RWAMUJURA,Mitooma,0.0,55.0,40.0,1.0,90.0,,,,,,,,,,,
Kigimbi B,RYENGYERERO,Mitooma,1552.3,65.0,60.0,0.79,60.0,,,,,,,,,0.0,0.0,
Buhasha A1,RYENGYERERO,Mitooma,1592.5,36.0,30.0,0.25,120.0,,,,,,,3.0,,100.0,100.0,
Katangyemeko,KASHASHA,Mitooma,0.0,59.0,60.0,1.0,80.0,,,,,,,,,120.0,0.0,
Buhasha B2,RYENGYERERO,Mitooma,1655.9,50.0,20.0,2.5,50.0,,,,,,,5.0,,200.0,60.0,
Buhasha B2,RYENGYERERO,Mitooma,1542.2,76.0,120.0,1.8,,,,,,,,,,120.0,100.0,
Kigimbi B,RYENGYERERO,Mitooma,1573.1,37.0,60.0,3.3200000000000003,85.0,,3.0,,,,,,,,,
Kaniampiiha,KASHASHA,Mitooma,0.0,42.0,30.0,2.0,60.0,,4.0,,,,,10.0,,,500.0,
Rwamujura,RWAMUJURA,Mitooma,0.0,30.0,90.0,0.25,75.0,,3.0,,,,,5.0,,100.0,,
Rwamujura,RWAMUJURA,Mitooma,0.0,90.0,40.0,2.8,140.0,,3.5,,,,,7.0,,200.0,40.0,
Buhasha B2,RYENGYERERO,Mitooma,1592.3,48.0,60.0,0.30000000000000004,,,,,,,,,,252.0,,
Kigimbi B,RYENGYERERO,Mitooma,0.0,65.0,5.0,0.9,,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1627.2,32.0,45.0,0.4975,,,,,,,,,,33.0,50.0,
Kigimbi A,RYENGYERERO,Mitooma,1599.0,56.0,20.0,4.0,,,,,,,,,,99.0,,
Buhasha A1,RYENGYERERO,Mitooma,0.0,63.0,30.0,8.75,,,,,,,,,,250.0,28.0,
Rwamujura,RWAMUJURA,Mitooma,1599.7,48.0,120.0,1.75,100.0,,,,,,,6.0,60.0,430.0,200.0,
Buhasha A1,RYENGYERERO,Mitooma,1592.0,45.0,30.0,0.25,260.0,,,,,,,3.0,,60.0,150.0,
Rwengyerero A,RYENGYERERO,Mitooma,1560.3,34.0,20.0,1.85,35.0,,,,,,,,,60.0,100.0,
Rucururu,RWAMUJURA,Mitooma,0.0,35.0,30.0,1.75,,,,,,,,,,80.0,150.0,
Nyarwanya A,KATAGATA,Mitooma,1628.2,46.0,15.0,1.3,,,,,,,,,,,240.0,
Rutooma,RWAMUJURA,Mitooma,0.0,60.0,20.0,1.875,72.0,,,,20.0,,,13.0,,150.0,100.0,
Rurama_Kashasha,KASHASHA,Mitooma,1169.6,38.0,30.0,3.75,,,,,,,,,,150.0,7.0,
Rwengyerero A,RYENGYERERO,Mitooma,1165.2,66.0,30.0,3.375,120.0,,,,,130.0,,16.0,,150.0,200.0,
Kibingo,KASHASHA,Mitooma,1178.7,34.0,10.0,1.5,110.0,,,,18.0,,,8.0,,100.0,20.0,
Rwengyerero A,RYENGYERERO,Mitooma,1165.2,45.0,120.0,1.875,65.0,,,,20.0,,,16.0,,50.0,,
Buhasha B2,RYENGYERERO,Mitooma,1666.7,42.0,60.0,0.8,45.0,,,,,,,,,240.0,,
Buhasha B2,RYENGYERERO,Mitooma,1615.5,60.0,120.0,0.8,24.0,,,,,,,,30.0,120.0,100.0,
Buhasha B2,RYENGYERERO,Mitooma,1593.7,48.0,10.0,0.19999999999999996,60.0,,,,,,,12.0,,288.0,100.0,
Buhasha A2,RYENGYERERO,Mitooma,1626.9,73.0,3.0,2.5,,,,,,,,,,100.0,70.0,
Nyarwanya B,KATAGATA,Mitooma,1534.4,58.0,20.0,0.9,60.0,,,,,,,,,200.0,100.0,
Buhasha B3,RYENGYERERO,Mitooma,0.0,50.0,80.0,2.5,120.0,,6.0,,,,,,,500.0,210.0,
Buhasha B1,RYENGYERERO,Mitooma,1665.9,67.0,20.0,1.75,8.0,,,,,,,,,80.0,1.0,
Rwengyerero A,RYENGYERERO,Mitooma,1599.1,87.0,15.0,0.4,10.0,,,,,,,,,100.0,,
Buhasha B3,RYENGYERERO,Mitooma,1622.5,43.0,60.0,1.825,105.0,,,,,,,4.5,,200.0,600.0,
Kibingo,KASHASHA,Mitooma,1179.0,32.0,60.0,2.0,,,,,,,,,,80.0,8.0,
Buhasha B2,RYENGYERERO,Mitooma,1552.4,26.0,60.0,0.9,,,,,,,,,,672.0,80.0,
Kaniampiiha,KASHASHA,Mitooma,0.0,69.0,60.0,6.0,250.0,,9.0,,,,,8.0,,340.0,250.0,
Buhasha B3,RYENGYERERO,Mitooma,0.0,43.0,80.0,0.75,140.0,,3.0,,,,,7.0,,200.0,100.0,
Kenshumba,KATAGATA,Mitooma,1618.1,53.0,30.0,2.0,,,,,,,,,,24.0,3.0,
Buhasha B3,RYENGYERERO,Mitooma,0.0,80.0,60.0,0.75,70.0,,1.5,,,,,9.0,,150.0,90.0,
Buhasha B2,RYENGYERERO,Mitooma,1608.4,60.0,30.0,0.29000000000000004,190.0,,,,,,,,,336.0,,
Kigimbi B,RYENGYERERO,Mitooma,1566.2,38.0,40.0,0.98,55.0,,,,,,,,,,,
Rucururu,RWAMUJURA,Mitooma,0.0,62.0,60.0,1.5,,,,,,,,,,300.0,200.0,
Rwamujura,RWAMUJURA,Mitooma,0.0,71.0,60.0,1.75,100.0,,8.0,,,,,16.0,,200.0,200.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,36.0,10.0,1.68,,,,,,,,,,360.0,300.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,29.0,25.0,2.2,,,,,,,,,,180.0,300.0,
Kibingo,KASHASHA,Mitooma,1167.7,57.0,45.0,1.0,130.0,,,,,,,9.0,,120.0,200.0,
Kihungye,KASHASHA,Mitooma,1171.7,41.0,45.0,2.5,,,,,,,,,,,1000.0,
Rutooma,RWAMUJURA,Mitooma,1165.2,48.0,30.0,2.875,240.0,,,,58.0,,,9.0,,300.0,,
Nyarwanya A,KATAGATA,Mitooma,1576.2,51.0,150.0,3.75,,,,,,,,,,600.0,600.0,
Kibingo,KASHASHA,Mitooma,1174.6,48.0,30.0,0.5,100.0,,,,28.0,,,8.0,85.0,80.0,,
Nyarwanya B,KATAGATA,Mitooma,1546.7,46.0,60.0,1.5,60.0,,,,,,,2.0,,120.0,900.0,
Rutooma,RWAMUJURA,Mitooma,1569.4,70.0,30.0,1.3,,,,,,,,,,100.0,60.0,
Kenshumba,KATAGATA,Mitooma,1623.4,53.0,40.0,2.75,110.0,,,,,,,,,90.0,300.0,
Buhasha B3,RYENGYERERO,Mitooma,0.0,80.0,120.0,3.5,140.0,,5.0,,,,,14.0,,300.0,600.0,
Nyarwanya B,KATAGATA,Mitooma,1567.0,52.0,15.0,1.7,350.0,,,,,,,,,200.0,450.0,
Mutanoga,RWAMUJURA,Mitooma,0.0,44.0,60.0,2.7,80.0,,,,,,,,,120.0,800.0,
Rutooma,RWAMUJURA,Mitooma,0.0,30.0,30.0,1.875,100.0,,4.0,,30.0,,,18.0,,150.0,200.0,
Kibingo,KASHASHA,Mitooma,1157.8,45.0,45.0,2.0,,,,,,,,,,80.0,100.0,
Buhasha B2,RYENGYERERO,Mitooma,1616.1,49.0,120.0,3.525,100.0,,,,45.0,,,1.5,,250.0,100.0,
Kibingo,KASHASHA,Mitooma,1170.1,48.0,15.0,3.0,140.0,,,,13.0,,,10.0,,100.0,400.0,
Rwamujura,RWAMUJURA,Mitooma,0.0,65.0,60.0,4.75,120.0,,5.0,,,,,9.0,,150.0,2100.0,
Buhasha B1,RYENGYERERO,Mitooma,1165.2,53.0,60.0,1.5,130.0,,,,,,,,,0.0,,
Rutooma,RWAMUJURA,Mitooma,1165.2,76.0,50.0,4.75,120.0,,,,42.0,,,16.0,,600.0,400.0,
Rwengyerero A,RYENGYERERO,Mitooma,1626.5,46.0,30.0,2.7,,,,,,,,,,120.0,260.0,
Buhasha A1,RYENGYERERO,Mitooma,0.0,32.0,60.0,0.25,,,,,,,,,,30.0,,
Buhasha B3,RYENGYERERO,Mitooma,0.0,66.0,120.0,2.5,180.0,,5.0,,90.0,,,12.0,,250.0,1000.0,
Nyarubira,NYAK-KATONYA,Rukungiri,2096.4,52.0,10.0,6.0,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,1999.1,41.0,60.0,0.0,,,,,,,,,,,,
Kagasha,NYAK-KAFUNJO,Rukungiri,2127.4,26.0,320.0,0.0,,,,,,,,,,,,
Karuhara,Ndago,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Rugazi,NYAK-KAFUNJO,Rukungiri,1844.1,42.0,60.0,0.5,,,,,,,,,,,,
Rugazi,NYAK-KAFUNJO,Rukungiri,0.0,29.0,60.0,0.0,17.0,,,,,,,,,4.0,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,26.0,60.0,0.3,,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1742.1,31.0,30.0,0.25,,,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,1916.9,90.0,60.0,0.25,22.0,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,0.0,70.0,20.0,0.0,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,1824.9,34.0,30.0,0.0,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,25.0,10.0,0.245,,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,2070.3,57.0,20.0,0.475,,,,,,,,,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2073.0,46.0,180.0,0.3,22.0,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1909.0,42.0,30.0,0.25,,,,,,,,2.0,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1833.8,75.0,15.0,0.75,,,,,,,,,,25.0,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,0.0,24.0,120.0,3.5,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,98.0,60.0,0.9950000000000001,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,39.0,30.0,0.25,,,,,,,,,,30.0,,
Ruhonwa,NYAK-KATONYA,Rukungiri,2128.3,35.0,0.25,0.0,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,1918.8,69.0,30.0,2.75,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,1768.0,55.0,15.0,0.8,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,53.0,20.0,0.5,80.0,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,1847.9,48.0,2.0,0.0,,,,,,,,5.0,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2137.5,38.0,120.0,0.5,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1980.0,60.0,60.0,0.9,,,,,,,,,,15.0,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,1646.0,67.0,5.0,0.8999999999999999,,,,,,,,,,,,
Rujoka,NYAK-KATONYA,Rukungiri,2045.5,60.0,120.0,2.0,,,,,,,,,,10.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,28.0,30.0,0.07500000000000001,,,,,,,,,,0.0,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,1930.1,71.0,30.0,0.25,,,,,,,,,,,,
Nyabishaki,NYAK-KAFUNJO,Rukungiri,0.0,28.0,30.0,1.0,70.0,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1836.1,39.0,25.0,0.25,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,37.0,60.0,0.5,,,,,,,,,,30.0,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1759.8,56.0,45.0,0.249975,,,,,,,,,,10.0,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,1638.1,42.0,60.0,0.0,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1844.0,50.0,60.0,1.9,,,,,,,,,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2049.3,34.0,120.0,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1906.0,80.0,8.0,0.5,,,,,,,,,,20.0,,
Rutooma,NYAK-KATONYA,Rukungiri,2005.5,46.0,60.0,0.25,,,,,,,,,,15.0,,
Kyanika A,Ndago,Rukungiri,,95.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2006.7,48.0,30.0,0.75,,,,,,,,,,30.0,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,70.0,120.0,0.5,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,28.0,30.0,0.07500000000000001,,,,,,,,,,0.0,,
Rugandu,NYAK-KAFUNJO,Rukungiri,2085.3,55.0,5.0,0.225,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,27.0,30.0,0.8,25.0,3.5,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,232.8,37.0,90.0,2.5,12.0,,,,,,,5.0,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,1832.1,40.0,30.0,0.09999999999999998,,,,,,,,,,,,
Nyaruziba,NYAK-KAFUNJO,Rukungiri,0.0,60.0,60.0,0.75,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1865.8,59.0,30.0,0.6,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1965.2,70.0,5.0,0.2499999999999999,,,,,,,,,,10.0,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1820.5,73.0,60.0,0.5,,,,,,,,,,20.0,,
Nyarubira,NYAK-KATONYA,Rukungiri,2159.6,78.0,180.0,0.0,,,,,,,,,,,,
Kajumera,NYAK-KATONYA,Rukungiri,1901.4,81.0,10.0,0.30000000000000004,,,,,,,,,,5.0,,
Rujoka,NYAK-KATONYA,Rukungiri,1943.5,35.0,30.0,0.3,45.0,,,,,,,,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,52.0,20.0,0.995,36.0,,,,,,,6.0,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,29.0,40.0,0.75,,,,,,,,,,,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,34.0,120.0,0.5,,,,,,,,,,5.0,,
Rwangura,NYAK-KATONYA,Rukungiri,1893.8,74.0,20.0,0.7,,,,,,,,,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,2130.8,80.0,60.0,0.25,,,,,,,,,,,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,1785.5,30.0,45.0,0.85,55.0,,,,,,,,,6.0,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1777.0,97.0,6.0,0.85,,,,,,,,,,50.0,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1822.2,48.0,10.0,1.0,,,,,,,,,,38.0,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1891.6,24.0,90.0,0.5,,,,,,,,,,20.0,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,55.0,60.0,1.5,50.0,,,,,,,,,15.0,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,0.0,41.0,20.0,0.0,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1806.3,33.0,10.0,2.75,,,,,,,,28.0,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1835.9,29.0,30.0,0.75,,,,,,,,,,,,
Kyanika A,Ndagu,Rukungiri,,73.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KATONYA,Rukungiri,2072.9,47.0,120.0,0.25,,,,,,,,,,10.0,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1751.5,32.0,30.0,0.4975,,,,,,,,,,,,
Rugazi,NYAK-KAFUNJO,Rukungiri,1770.3,44.0,10.0,0.0,,,,,,,,,,,,
Nyakasharara,Burama,Rukungiri,,83.0,,0.0,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,53.0,20.0,0.45,,,,,,,,4.0,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,23.0,90.0,0.248,,,,,,,,,,14.0,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1822.4,66.0,20.0,0.75,,,,,,,,,,35.0,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,24.0,10.0,0.175,16.0,,,,,,,,,30.0,,
Kashenyi,NYAK-KATONYA,Rukungiri,0.0,40.0,40.0,0.0,,,,,,,,,,50.0,80.0,
Rutooma,NYAK-KATONYA,Rukungiri,2008.4,70.0,25.0,0.75,,,,,,,,,,30.0,,
Rushinya,Burama,Rukungiri,,39.0,,0.0,,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,1830.9,58.0,30.0,4.75,,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,2079.5,75.0,30.0,0.75,,,,,,,,1.5,,12.0,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,95.0,15.0,0.825,13.0,,,,,,,,,80.0,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1844.8,62.0,30.0,0.25,,,,,,,,,,6.0,,
Kamira,Ndagu,Rukungiri,,75.0,,0.0,,,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,8.1,68.0,15.0,0.0,27.0,,,,,,,1.0,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,0.0,39.0,30.0,0.5,4.0,,,,,,,,,,,
Bugomora,NYAK-KAFUNJO,Rukungiri,0.0,28.0,30.0,0.75,,,,,,,,,,5.0,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,30.0,60.0,0.25,,,,,,,,,,,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,1829.2,48.0,30.0,0.15000000000000002,8.0,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,27.0,,0.0,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1957.1,30.0,30.0,1.75,20.0,,,,,,,,,10.0,10.0,
Rutooma,NYAK-KATONYA,Rukungiri,2061.0,75.0,60.0,0.0,,,,,,,,,,40.0,,
Rugazi,NYAK-KAFUNJO,Rukungiri,1744.4,77.0,40.0,0.75,,,,,,,,,,20.0,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,1647.5,45.0,30.0,0.75,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,27.0,45.0,1.495,40.0,,,,,,,,,30.0,0.0,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,78.0,20.0,0.5,55.0,,,,,,,4.0,,5.0,0.0,
Kitookye,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,68.0,6.0,0.325,45.0,,,,,,,2.0,,50.0,,
Bugarama,NYAK-KATONYA,Rukungiri,0.0,68.0,6.0,0.325,13.0,,,,,,,2.0,,50.0,,
Kikoni A,Ndago,Rukungiri,,70.0,,0.0,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,52.0,10.0,2.995,70.0,,,,,,,,,,,
Nyakakizi,NYAK-KAFUNJO,Rukungiri,0.0,25.0,30.0,0.25,,,,,,,,0.0,,0.0,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1865.6,19.0,10.0,0.75,,,,,,,,,,50.0,,
Rushinya,Burama,Rukungiri,,64.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,2126.9,70.0,60.0,0.4995,50.0,,,,,,,,,9.0,,
Kitookye,Ndago,Rukungiri,,56.0,,0.0,,,,,,,,,,,,
Bugandaza,NYAK-KAFUNJO,Rukungiri,1775.9,50.0,15.0,0.9,,,,,,,,,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,2083.3,37.0,60.0,0.25,40.0,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1608.4,47.0,25.0,1.25,,,,,,,,,,30.0,,
Nyakabare,NYAK-KATONYA,Rukungiri,1950.8,42.0,60.0,1.0,,,,,,,,,,5.0,,
Kabijaga,NYAK-KAFUNJO,Rukungiri,1782.6,33.0,30.0,0.35,,,,,,,,,,,,
Mushunga,NYAK-KATONYA,Rukungiri,0.0,80.0,30.0,0.5,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1871.9,30.0,30.0,0.25,,,,,,,,,,30.0,,
Kafunjo Cell,NYAK-KAFUNJO,Rukungiri,1812.4,24.0,10.0,0.75,26.0,,,,,,,,,,,
Nyakashenyi,NYAK-KATONYA,Rukungiri,1627.0,61.0,40.0,1.0,58.0,,,,,,,,,,,
Rugandu,NYAK-KAFUNJO,Rukungiri,1729.6,50.0,40.0,0.4975,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,55.0,,0.0,,,,,,,,,,,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,28.0,60.0,0.75,,,,,,,,,,,,
Nyakabare,NYAK-KATONYA,Rukungiri,1979.4,49.0,25.0,0.8,,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,23.0,,0.0,,,,,,,,,,,,
Rutooma,NYAK-KAFUNJO,Rukungiri,0.0,48.0,80.0,0.0,80.0,,,,,,,4.5,,18.0,,
Kyanika B,Ndago,Rukungiri,,28.0,,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,30.0,,0.0,,,,,,,,,,,,
Nyamabare,NYAK-KAFUNJO,Rukungiri,0.0,62.0,50.0,1.0,,,,,,,,,,20.0,,
Rugazi,NYAK-KAFUNJO,Rukungiri,1772.3,60.0,10.0,0.0,,,,,,,,,,,,
Ruhonwa,NYAK-KATONYA,Rukungiri,2133.1,50.0,30.0,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1872.1,35.0,30.0,0.0,,,,,,,,,,,,
Rushinya,Burama,Rukungiri,,35.0,,0.0,,,,,,,,,,,,
Kibarama,Burama,Rukungiri,,29.0,,0.0,,,,,,,,,,,,
Kagorogoro,NYAK-KAFUNJO,Rukungiri,0.0,78.0,60.0,0.0,,,,,,,,1.5,,6.0,,
Kyanika A,Ndagu,Rukungiri,,19.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1925.2,26.0,30.0,0.25,,,,,,,,,,,,
Rwangura,NYAK-KATONYA,Rukungiri,0.0,55.0,20.0,0.495,,,,,,,,,,,,
Nyarubira,NYAK-KATONYA,Rukungiri,2072.7,28.0,10.0,0.75,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1893.0,42.0,30.0,0.25,,,,,,,,,,0.0,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,36.0,30.0,0.0,,,,,,,,,,,,
Mukajagiro,NYAK-KATONYA,Rukungiri,1867.0,50.0,60.0,0.0,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,72.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,2103.9,60.0,45.0,0.5,,,,,,,,,,12.0,,
Nyarubira,NYAK-KATONYA,Rukungiri,2088.9,26.0,60.0,0.5,,,,,,,,,,,,
Kabuzigye,NYAK-KAFUNJO,Rukungiri,1959.1,32.0,60.0,0.5,50.0,,,,,,,,,,,
Rukungiri,Ndago,Rukungiri,,40.0,,0.0,,,,,,,,,,,,
Kajubwe,NYAK-KAFUNJO,Rukungiri,1820.2,54.0,30.0,1.0,,,,,,,,,,15.0,,
Torotoro,Ndago,Rukungiri,,54.0,,0.0,,,,,,,,,,,,
Ndyabihanga,NYAK-KATONYA,Rukungiri,1737.5,58.0,30.0,0.5,,,,,,,,,,,,
Kikoni A,Ndago,Rukungiri,,78.0,,0.0,,,,,,,,,,,,
Kijubwe,NYAK-KAFUNJO,Rukungiri,0.0,37.0,60.0,0.0,16.0,,,,,,,,,9.0,,
Mugurante,NYAK-KATONYA,Rukungiri,0.0,50.0,30.0,0.0,,,,,,,,,,38.0,,
Kamira,Ndagu,Rukungiri,,45.0,,0.0,,,,,,,,,,,,
