pre_village,pre_parish,pre_district,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,pre_cluster
Rurama_Kashasha,KASHASHA,Mitooma,1176.7,30.0,120.0,0.75,,,,,,,,,,35.0,80.0,
Nkongi,KASHASHA,Mitooma,0.0,26.0,20.0,0.38,4.0,,,,,,,,,,,
Itara,KATAGATA,Mitooma,1571.1,40.0,15.0,0.4975,,,,,,,,,,25.0,,
Nyarushinya,KASHASHA,Mitooma,0.0,48.0,40.0,0.75,30.0,,,,,,,,,,,
Katagata,KATAGATA,Mitooma,1550.5,63.0,45.0,1.96,105.0,,,,,,,,,,,
Buhasha A2,RYENGYERERO,Mitooma,1623.7,37.0,30.0,0.25,40.0,,,,,,,,,,,
Buhasha B2,RYENGYERERO,Mitooma,1603.2,30.0,120.0,0.3,,,,,,,,,,50.0,20.0,
Kenshumba,KATAGATA,Mitooma,1615.1,26.0,40.0,1.75,76.0,,,,,,,,,60.0,,
Buhasha A1,RYENGYERERO,Mitooma,0.0,41.0,60.0,0.25,70.0,,,,,,,,,300.0,,
Buhasha B2,RYENGYERERO,Mitooma,1677.0,74.0,120.0,0.325,20.0,,,,,,,5.0,,55.0,20.0,
Buhasha A2,RYENGYERERO,Mitooma,1774.3,43.0,20.0,0.75,,,,,,,,,,,,
Kibaya,KASHASHA,Mitooma,0.0,33.0,40.0,0.75,100.0,,1.0,,,,,4.0,,0.0,,
Rurama_Kashasha,KASHASHA,Mitooma,1165.4,45.0,30.0,1.75,,,,,,,,,,60.0,,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,43.0,40.0,0.35,,,,,,,,,,48.0,,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,60.0,150.0,0.85,8.0,,,,,,,,,36.0,,
Buhasha B1,RYENGYERERO,Mitooma,1661.6,52.0,20.0,1.75,35.0,,,,,,,,,40.0,1.0,
Kenshumba,KATAGATA,Mitooma,1618.8,39.0,30.0,0.25,,,,,,,,,,15.0,,
Kigimbi B,RYENGYERERO,Mitooma,0.0,30.0,120.0,0.33,8.0,,,,,,,,,,,
Buhasha B1,RYENGYERERO,Mitooma,1665.6,66.0,30.0,0.25,35.0,,,,,,,3.0,,40.0,1.0,
Rurama_Kashasha,KASHASHA,Mitooma,1156.3,38.0,14.0,0.75,,,,,,,,,,45.0,,
Nyarwanya B,KATAGATA,Mitooma,1585.6,59.0,60.0,0.8,,,,,,,,,,50.0,5.0,
Rwengyerero C,RYENGYERERO,Mitooma,0.0,32.0,60.0,1.25,,,,,,,,4.0,,,,
Rugando,RWAMUJURA,Mitooma,1547.7,45.0,30.0,0.25,,,,,,,,,52.0,70.0,10.0,
Katangyemeko,KASHASHA,Mitooma,1129.5,28.0,80.0,2.0,,,,,,,,,,,50.0,
Katagata,KATAGATA,Mitooma,1602.0,96.0,60.0,0.0,12.0,,1.0,,,,,,,,,
