pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kanywansande,Kanungu,Kihembe,1091.3,26.0,,30.0,,,,,,,,,,,25.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1096.7,52.0,1.0,30.0,60.0,,,,,105.0,,,,,,2022
Rugarama,Kanungu,Kihembe,1180.7,26.0,,8.0,,,,,,,,,,,0.0,2022
Rugarama,Kanungu,Kihembe,1161.5,85.0,2.0,10.0,,,,,,,,,,,200.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1131.0,45.0,1.25,40.0,80.0,,,,,,,,90.0,,100.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1112.6,46.0,2.5,30.0,60.0,,,,,,,,12.0,,400.0,2022
Kyozi,Kanungu,Kihembe,1145.4,56.0,2.1,15.0,35.0,,,,50.0,,,,,,,2022
Kyozi,Kanungu,Kihembe,1152.8,35.0,1.5,5.0,50.0,,,,,70.0,,,,,0.0,2022
Rukarara,Kanungu,Kihembe,1098.5,42.0,2.75,5.0,41.0,,,,51.0,,,,14.0,30.0,200.0,2022
Rukarara,Kanungu,Kihembe,1077.3,45.0,1.0,90.0,145.0,,,,,,,,,,,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1126.6,36.0,1.0,30.0,60.0,,,,,,,,,,150.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.1,71.0,1.0,15.0,105.0,,,,,,,,,,200.0,2022
Rukarara,Kanungu,Kihembe,1098.5,26.0,1.25,30.0,39.0,,,,7.0,,,,,,30.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.2,70.0,0.75,20.0,40.0,,,35.0,30.0,,,,,,,2022
Kihembe_Central,Kanungu,Kihembe,1131.5,56.0,3.9,20.0,130.0,,0.0,,90.0,,,,,10.0,300.0,2022
Rugarama,Kanungu,Kihembe,1167.3,40.0,0.75,10.0,100.0,,,,,,,,40.0,,100.0,2022
Kihembe_Central,Kanungu,Kihembe,1130.3,61.0,3.5,30.0,110.0,,20.0,,,,,,,,200.0,2022
Rukarara,Kanungu,Kihembe,1084.2,65.0,2.5,30.0,30.0,,,,,,,,,,,2022
Kanywansande,Kanungu,Kihembe,1097.7,27.0,1.0,30.0,,,21.0,,,,,,,,80.0,2022
Rukarara,Kanungu,Kihembe,1130.2,63.0,2.0,15.0,100.0,,,,,,,,,,100.0,2022
Kihembe_Central,Kanungu,Kihembe,1142.1,38.0,0.9,20.0,110.0,,0.0,,90.0,,,,,,200.0,2022
Kihembe_Central,Kanungu,Kihembe,1129.0,59.0,0.75,10.0,140.0,,,,,,,,,,100.0,2022
Kyozi,Kanungu,Kihembe,1151.3,85.0,1.5,10.0,45.0,,1.6,,,70.0,,,,,,2022
Kanywansande,Kanungu,Kihembe,1115.2,24.0,0.8,10.0,,,,,,,,,,,160.0,2022
Rugarama,Kanungu,Kihembe,1207.0,51.0,0.9,60.0,67.0,,,,,,,,,,,2022
Rugarama,Kanungu,Kihembe,1197.9,38.0,0.28,40.0,85.0,,,,90.0,,,,,,80.0,2022
Rukarara,Kanungu,Kihembe,1058.2,27.0,1.0,20.0,200.0,,,,,,,,,10.0,0.0,2022
Rukarara,Kanungu,Kihembe,1056.6,40.0,1.5,60.0,140.0,,,,,25.0,,,,,,2022
Kanywansande,Kanungu,Kihembe,1121.2,49.0,1.25,15.0,200.0,,1.0,,150.0,,,,,40.0,200.0,2022
Rukarara,Kanungu,Kihembe,1076.0,40.0,1.0,30.0,,,,,,,,,,50.0,0.0,2022
Rugarama,Kanungu,Kihembe,1186.0,28.0,0.75,30.0,56.0,,,,70.0,,,,,,100.0,2022
Kihembe_Central,Kanungu,Kihembe,1113.1,41.0,1.8,20.0,110.0,,0.0,,70.0,,,,45.0,20.0,50.0,2022
Kanywansande,Kanungu,Kihembe,1097.7,32.0,1.5,30.0,220.0,,26.0,,,,,85.0,,,100.0,2022
Kyozi,Kanungu,Kihembe,1171.1,41.0,0.5,30.0,165.0,,,170.0,150.0,140.0,,,70.0,,,2022
Kanywansande,Kanungu,Kihembe,1103.9,30.0,1.8,120.0,120.0,,3.0,,112.0,,,,,,160.0,2022
Rukarara,Kanungu,Kihembe,1130.2,33.0,1.5,35.0,130.0,,,,195.0,,,,,,200.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1153.5,33.0,2.0,30.0,110.0,,,,,,,,,,600.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1140.9,27.0,2.7,20.0,30.0,,,,90.0,,,,20.0,,,2022
Rukarara,Kanungu,Kihembe,1098.5,32.0,1.5,10.0,,,,,,170.0,,,50.0,,150.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1143.6,39.0,1.5,10.0,145.0,,,,80.0,,,,,,300.0,2022
Rugarama,Kanungu,Kihembe,1170.4,38.0,0.75,30.0,,,,,,,,,,,200.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1137.3,65.0,6.0,60.0,70.0,,10.0,,,,,,106.0,,,2022
Rukarara,Kanungu,Kihembe,1130.2,38.0,1.5,6.0,120.0,,,,,,,,,,150.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.6,57.0,0.8,90.0,15.0,,25.0,,40.0,,,,,,,2022
Rugarama,Kanungu,Kihembe,1186.6,42.0,0.6,30.0,220.0,,2.0,,190.0,,,,40.0,,50.0,2022
Kihembe_Central,Kanungu,Kihembe,1120.1,32.0,2.0,15.0,35.0,,,,,,,,50.0,72.0,150.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1116.0,51.0,0.25,60.0,,,,,,,,,,,30.0,2022
Kihembe_Central,Kanungu,Kihembe,1125.1,30.0,0.4,140.0,,,,,,,,,,,,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1112.6,72.0,1.0,10.0,80.0,,,,,,,,,,,2022
Rugarama,Kanungu,Kihembe,1170.6,46.0,0.25,20.0,70.0,,16.0,,,,,,,,60.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1113.6,31.0,1.0,20.0,110.0,,3.0,,,,,,,,0.0,2022
Rukarara,Kanungu,Kihembe,1098.6,27.0,1.9,15.0,125.0,,,250.0,200.0,,,,,,,2022
Kanywansande,Kanungu,Kihembe,1100.6,80.0,2.0,15.0,,,,,,,,,,,600.0,2022
Rugarama,Kanungu,Kihembe,1168.4,42.0,0.25,15.0,45.0,,,,25.0,,,,,,,2022
Kihembe_Central,Kanungu,Kihembe,1123.2,49.0,0.75,60.0,90.0,,,,,,,,,50.0,250.0,2022
Kyozi,Kanungu,Kihembe,1174.0,48.0,1.5,35.0,180.0,,,,,,,,,,150.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1093.5,78.0,1.0,20.0,,,,,,,,,,,400.0,2022
Kanywansande,Kanungu,Kihembe,1133.2,33.0,0.5,15.0,100.0,,,,,,,,,,50.0,2022
Kanywansande,Kanungu,Kihembe,1133.8,40.0,3.5,10.0,90.0,,,,,,,,,,300.0,2022
Rugarama,Kanungu,Kihembe,1169.4,23.0,0.75,10.0,180.0,,,,45.0,,,,,40.0,,2022
Rukarara,Kanungu,Kihembe,1088.2,45.0,1.3,20.0,105.0,,,,,,,,,,,2022
Rukarara,Kanungu,Kihembe,1086.8,39.0,0.5,30.0,180.0,,,,140.0,,,,103.0,,,2022
Rukarara,Kanungu,Kihembe,1130.2,76.0,2.0,10.0,,,,,,,,,,,200.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1138.0,57.0,2.5,15.0,160.0,,,,,,,,120.0,,200.0,2022
Kyozi,Kanungu,Kihembe,1199.1,29.0,0.5,30.0,160.0,,,,115.0,110.0,,3.0,,,,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1107.3,36.0,,30.0,130.0,,,100.0,,100.0,,3.0,,,,2022
Rukarara,Kanungu,Kihembe,1098.5,23.0,1.75,25.0,25.0,,,,26.0,,,,,20.0,80.0,2022
Kyozi,Kanungu,Kihembe,1179.0,33.0,1.0,35.0,130.0,,,,115.0,,,,,,300.0,2022
Rugarama,Kanungu,Kihembe,1186.2,56.0,1.5,15.0,150.0,,,,,,,,,,150.0,2022
Rukarara,Kanungu,Kihembe,1092.8,51.0,1.0,30.0,130.0,,,,,,,,,,0.0,2022
Rukarara,Kanungu,Kihembe,1076.0,27.0,1.0,30.0,120.0,,,140.0,,158.0,,23.0,100.0,28.0,,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.4,48.0,1.5,15.0,165.0,,,,,,,,,,300.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1143.6,36.0,0.3,30.0,,,,,115.0,,,,,,,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1114.9,60.0,2.5,10.0,145.0,,,,,,,,,,,2022
Kyozi,Kanungu,Kihembe,1159.4,30.0,1.0,35.0,105.0,,,,130.0,,,,,20.0,,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1143.6,37.0,1.5,30.0,160.0,,,,,,,,200.0,,,2022
Rugarama,Kanungu,Kihembe,1177.3,32.0,4.0,60.0,80.0,,,,,,,,40.0,,100.0,2022
Kanywansande,Kanungu,Kihembe,1123.1,33.0,3.5,20.0,110.0,,,,,,,,140.0,,150.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1129.9,28.0,1.8,60.0,142.0,,7.0,,,,,,,,600.0,2022
Kyozi,Kanungu,Kihembe,1164.3,52.0,1.0,15.0,110.0,,,,,,,,,,300.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1150.9,28.0,0.5,25.0,180.0,,,120.0,115.0,,,2.0,,10.0,,2022
Rugarama,Kanungu,Kihembe,1166.4,21.0,0.75,20.0,85.0,,18.0,,,,,,,,,2022
Rukarara,Kanungu,Kihembe,1115.0,32.0,1.0,30.0,165.0,,,,,,,4.0,120.0,,,2022
Kyozi,Kanungu,Kihembe,1141.7,28.0,1.0,30.0,200.0,,,240.0,140.0,180.0,,,60.0,10.0,0.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1144.9,31.0,1.0,30.0,200.0,,,,175.0,140.0,,4.0,,8.0,,2022
Kanywansande,Kanungu,Kihembe,1114.0,36.0,3.75,20.0,180.0,,4.0,,145.0,,,,,,400.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1153.5,72.0,2.5,25.0,200.0,,,,,,,,,,600.0,2022
Rugarama,Kanungu,Kihembe,1191.6,78.0,4.75,48.0,140.0,,13.0,130.0,180.0,,,,102.0,,240.0,2022
Rugarama,Kanungu,Kihembe,1178.2,38.0,1.75,20.0,140.0,,,,140.0,,,,,,400.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1115.0,52.0,2.6,15.0,120.0,,,,40.0,,,,,25.0,600.0,2022
Kyozi,Kanungu,Kihembe,1165.8,37.0,1.5,35.0,110.0,,,,170.0,,,,,,200.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1139.1,64.0,1.75,60.0,110.0,,8.0,,120.0,80.0,,,82.0,,180.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1136.3,59.0,1.0,30.0,190.0,,,,195.0,,,,,,0.0,2022
Kanywansande,Kanungu,Kihembe,1097.3,40.0,2.5,3.0,140.0,,1.0,,140.0,180.0,,,90.0,15.0,500.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1112.6,50.0,5.0,10.0,170.0,,,,90.0,,,,,15.0,300.0,2022
Kanywansande,Kanungu,Kihembe,1113.9,71.0,1.85,4.0,165.0,,0.0,,,,,,55.0,,300.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1117.0,48.0,1.0,30.0,130.0,,,80.0,,90.0,,6.0,,,,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1104.7,34.0,2.0,25.0,,,,,,,,,,,400.0,2022
Rukarara,Kanungu,Kihembe,1130.2,42.0,1.0,5.0,150.0,,,,170.0,,,,,,200.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1147.0,75.0,1.0,30.0,130.0,,,,,160.0,,3.0,,10.0,0.0,2022
Rugarama,Kanungu,Kihembe,1162.5,76.0,0.8,40.0,185.0,,7.0,,115.0,,,,,,300.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.2,25.0,2.0,5.0,125.0,9.0,,,,,,,,20.0,,2022
Rukarara,Kanungu,Kihembe,1098.5,51.0,4.5,5.0,165.0,,,,,,,,9.0,,200.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1110.1,25.0,0.5,20.0,130.0,,,,120.0,,,,,,,2022
Kyozi,Kanungu,Kihembe,1164.3,28.0,1.5,20.0,,,,,,,,,,,600.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.2,56.0,4.5,120.0,45.0,,,,100.0,,,,,,300.0,2022
Rukarara,Kanungu,Kihembe,1098.5,54.0,3.5,60.0,50.0,,,,,,,,,12.0,600.0,2022
Kihembe_Central,Kanungu,Kihembe,1149.3,29.0,1.7,15.0,130.0,,0.0,,80.0,,,,70.0,15.0,300.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1129.9,28.0,0.5,30.0,160.0,,,,,160.0,,5.0,,8.0,0.0,2022
Kanywansande,Kanungu,Kihembe,1102.7,34.0,1.0,15.0,,,,,,,,,,,600.0,2022
Kengoma_Kihembe,Kanungu,Kihembe,1143.2,46.0,1.75,60.0,13.0,,,,180.0,,,,20.0,,200.0,2022
Kihembe_Central,Kanungu,Kihembe,1126.6,41.0,2.3,20.0,130.0,,0.0,,70.0,,,,60.0,30.0,600.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1126.4,62.0,3.0,20.0,100.0,,0.0,,130.0,,,,,30.0,600.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1130.4,35.0,1.8,60.0,100.0,,,,120.0,670.0,,,,,0.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1114.3,51.0,3.0,50.0,,,14.0,,200.0,,,,,,500.0,2022
Kyozi,Kanungu,Kihembe,1170.3,58.0,3.75,5.0,150.0,,,,155.0,,,,80.0,10.0,600.0,2022
Kyozi,Kanungu,Kihembe,1171.6,34.0,0.5,15.0,160.0,,4.0,135.0,190.0,170.0,,,,20.0,600.0,2022
Rukarara,Kanungu,Kihembe,1109.2,38.0,1.0,20.0,200.0,,3.0,385.0,,250.0,,,,12.0,0.0,2022
Kihembe_Central,Kanungu,Kihembe,1130.1,53.0,3.0,50.0,80.0,,14.0,,145.0,,,7.0,90.0,,600.0,2022
Kihembe_Central,Kanungu,Kihembe,1133.3,63.0,5.0,5.0,110.0,,0.0,,40.0,,,,70.0,10.0,600.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1143.6,46.0,1.5,15.0,105.0,,,,,,,,200.0,,,2022
Rugarama,Kanungu,Kihembe,1196.4,58.0,2.0,40.0,110.0,,8.0,,100.0,,,,120.0,,400.0,2022
Kihembe_Central,Kanungu,Kihembe,1107.2,55.0,2.0,60.0,220.0,,12.0,,170.0,,,9.0,,,500.0,2022
Kihembe_Central,Kanungu,Kihembe,1130.9,83.0,2.0,40.0,150.0,,,175.0,260.0,,,7.0,87.0,,600.0,2022
Nyabirehe_Kihembe,Kanungu,Kihembe,1112.6,40.0,2.5,3.0,115.0,,,,,,,,,10.0,100.0,2022
Kihembe_Central,Kanungu,Kihembe,1118.6,72.0,15.0,40.0,105.0,,,,115.0,,,,,,600.0,2022
Kyozi,Kanungu,Kihembe,1165.6,39.0,1.0,30.0,165.0,,,,90.0,230.0,,,,,600.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1122.0,56.0,3.8,50.0,260.0,,11.0,,180.0,,,,86.0,,600.0,2022
Kyozi,Kanungu,Kihembe,1170.3,25.0,4.75,10.0,,,,,,,,,11.0,,200.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1147.0,69.0,4.0,2.0,84.0,,21.0,,155.0,,,,97.0,20.0,600.0,2022
Rugarama,Kanungu,Kihembe,1173.5,60.0,12.0,5.0,85.0,,0.0,,200.0,,,,110.0,,600.0,2022
Kanywansande,Kanungu,Kihembe,1111.5,33.0,1.75,1.0,,,,,,,,,,,600.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1095.7,54.0,4.5,20.0,80.0,,0.0,,,,,,,50.0,600.0,2022
Nyakasharara_Kihembe,Kanungu,Kihembe,1125.0,50.0,25.0,2.0,190.0,,16.0,,145.0,,,,88.0,50.0,600.0,2022
Kyozi,Kanungu,Kihembe,1155.8,60.0,8.0,10.0,160.0,,,,115.0,300.0,,,170.0,,,2022
Kyozi,Kanungu,Kihembe,1170.3,51.0,11.5,10.0,88.0,,,,105.0,,,,110.0,,600.0,2022
,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,2022
,,,,,,,,,,,,,,,,,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1578.7,85.0,1.975,30.0,,,,,,,,,,,,2022
MUKO-KYUMBUGUCHU,KANUNGU,MUKONO,1406.6,32.0,0.25,30.0,,,,,,,,,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1536.0,27.0,0.225,30.0,,,,,,,,,,,,2022
RUTU-RUTOOMA,KANUNGU,RUTUGUNDA,1471.6,40.0,0.5,30.0,,,,,,,,,,,,2022
RUTU-RUTOOMA,KANUNGU,RUTUGUNDA,1476.9,40.0,0.38,30.0,32.0,,,,,,,,,,,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1405.7,28.0,0.0,10.0,,,,,,,,,,,,2022
MUKO-MUKONO,KANUNGU,MUKONO,1409.4,30.0,0.1,60.0,,,,,,,,,,,,2022
RUTU-BUHAMBA,KANUNGU,RUTUGUNDA,1413.1,30.0,0.3,30.0,,,,,,,,,,,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1473.3,35.0,0.75,180.0,,,,,,,,,,,50.0,2022
MUKO-MUKONGORO,KANUNGU,MUKONO,1543.6,21.0,0.125,40.0,,,,,,,,,,,,2022
KYES-NYAKISHOJWA,KANUNGU,KYESHERO,1194.8,46.0,0.0,60.0,,,,,,,,,,,,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1355.7,35.0,0.125,30.0,,,,,,,,,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1304.7,69.0,0.4,60.0,,,,,,,,,,,,2022
MUKO-MUKONO,KANUNGU,MUKONO,0.0,64.0,0.05000000000000002,30.0,,,,,,,,,,10.0,,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1386.1,42.0,0.5,10.0,,,,,,,,,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1445.1,30.0,0.0,120.0,,,,,,,,,,,20.0,2022
RUTU-KITONGO,KANUNGU,RUTUGUNDA,1476.5,73.0,0.44999999999999996,120.0,,,,,,,,,,6.0,50.0,2022
MUKO-NYAKEINA,KANUNGU,MUKONO,1466.5,49.0,0.30000000000000004,60.0,30.0,,,,,,,,,,,2022
MUKO-KANYAMISINGA,KANUNGU,MUKONO,1377.4,42.0,0.15,10.0,18.0,,,,,,,6.0,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1311.1,71.0,2.9,20.0,,,,,,,,,,3.0,0.0,2022
MUKO-KYUMBUGUCHU,KANUNGU,MUKONO,1350.5,30.0,1.25,30.0,,,,,,,,,,,,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1475.1,65.0,0.15,30.0,13.0,,0.0,,,,,,,0.0,,2022
MUKO-IRAARO,KANUNGU,MUKONO,1372.4,23.0,0.0,60.0,,,,,,,,,,,,2022
MUKO-MUKONO,KANUNGU,MUKONO,1440.3,43.0,0.9,60.0,24.0,,,,13.0,,,,,,80.0,2022
KYES-KAKUREIJO,KANUNGU,KYESHERO,1229.5,48.0,0.25,30.0,,,,,,,,,,,,2022
RUTU-RUTOOMA,KANUNGU,RUTUGUNDA,1474.8,33.0,0.75,60.0,,,,,,,,,,,,2022
RUTU-RUTOORO,KANUNGU,RUTUGUNDA,1472.1,42.0,0.25,60.0,,,,,,,,,,,,2022
MUKO-NYAKEINA,KANUNGU,MUKONO,1423.8,29.0,1.94,30.0,,,,,52.0,,,,,,,2022
MUKO-RUBONA,KANUNGU,MUKONO,1600.8,35.0,2.85,180.0,,,,,,,,,,,,2022
RUTU-RUTOOMA,KANUNGU,RUTUGUNDA,1469.4,50.0,0.0,60.0,,,,,,,,,,20.0,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1381.3,32.0,0.0,180.0,,,,,,,,,,,100.0,2022
KYES-KYESHERO CENTRAL,KANUNGU,KYESHERO,1280.9,70.0,0.1875,60.0,,,,,,,,,,10.0,,2022
RUTU-RUTOOMA,KANUNGU,RUTUGUNDA,1476.7,65.0,2.25,5.0,140.0,,,,,,,,,,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1458.1,22.0,0.75,180.0,,,,,,,,,,,70.0,2022
KYES-NYAMIRAMBI,KANUNGU,KYESHERO,1337.1,57.0,1.15,40.0,,,,,,,,,,,,2022
MUKO-MUKONGORO,KANUNGU,MUKONO,1516.6,53.0,0.475,30.0,18.0,,1.0,,,,,,,,,2022
MUKO-KYUMBUGUCHU,KANUNGU,MUKONO,1383.9,24.0,0.0,20.0,,,,,,,,,,,,2022
RUTU-BUHAMBA,KANUNGU,RUTUGUNDA,1436.6,35.0,0.4875,10.0,,,,,,,,,,20.0,,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1484.4,26.0,0.99,30.0,,,,,,,,,,0.0,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1302.3,30.0,2.0,60.0,,,,,,,,,,,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1482.6,32.0,0.975,30.0,,,,,,,,,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1288.8,48.0,0.75,10.0,,,,,,,,,,,,2022
KYES-KAKUREIJO,KANUNGU,KYESHERO,1211.5,66.0,0.0,60.0,,,,,,,,,,,24.0,2022
MUKO-NYAKEINA,KANUNGU,MUKONO,1347.4,53.0,0.4,30.0,,,,,,,,,,,,2022
MUKO-MUKONO,KANUNGU,MUKONO,1447.0,50.0,1.85,3.0,,,,,,,,16.0,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1370.9,29.0,1.4,10.0,74.0,,,,40.0,60.0,,,,5.0,0.0,2022
KYES-NYAKISHOJWA,KANUNGU,KYESHERO,1177.7,62.0,0.6000000000000001,60.0,,,,,,,,,,,,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1456.6,24.0,1.25,60.0,,,,,,,,,,8.0,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1532.9,44.0,0.0,30.0,,,,,,,,,,,,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1461.9,42.0,0.75,60.0,,,,,,,,,,,0.0,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1470.2,25.0,0.25,30.0,70.0,,,,,,,,,,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1510.8,42.0,0.975,60.0,,,,,,,,,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1284.6,74.0,0.75,30.0,,,,,,,,,,,,2022
MUKO-RUBONA,KANUNGU,MUKONO,1572.5,41.0,0.30000000000000004,80.0,,,,,,,,,,,,2022
RUTU-KATUNGU,KANUNGU,RUTUGUNDA,1476.7,62.0,0.0,30.0,33.0,,,,,,,,,20.0,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1459.1,28.0,0.0,60.0,15.0,,,,,,,,,,,2022
RUTU-RUTOORO,KANUNGU,RUTUGUNDA,1495.9,76.0,0.26,60.0,,,,,,,,,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1314.8,22.0,1.25,30.0,35.0,,,,,,,,,6.0,,2022
KYES-KAKUREIJO,KANUNGU,KYESHERO,1231.3,28.0,0.0,30.0,,,,,,,,,,,,2022
MUKO-RUBONA,KANUNGU,MUKONO,1534.8,21.0,1.4,90.0,,,,,,,,,,20.0,0.0,2022
RUTU-KITONGO,KANUNGU,RUTUGUNDA,1405.8,49.0,0.19999999999999998,15.0,55.0,,,,,,,7.0,,,,2022
KYES-KYESHERO CENTRAL,KANUNGU,KYESHERO,1283.6,23.0,0.975,60.0,,,,,,,,,,,,2022
MUKO-KANYAMISINGA,KANUNGU,MUKONO,1415.8,51.0,0.75,30.0,48.0,,,,,,,,,5.0,,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1392.4,58.0,0.32999999999999996,30.0,,,,,32.0,,,,,,,2022
KYES-MBOHA,KANUNGU,KYESHERO,1305.1,60.0,1.75,30.0,,,,,,,,,,,,2022
MUKO-MUKONGORO,KANUNGU,MUKONO,1366.2,28.0,0.0,60.0,77.0,,,,,,,,,,,2022
MUKO-NYAKEINA,KANUNGU,MUKONO,1354.3,26.0,0.25,15.0,,,,,,,,,,,,2022
MUKO-KYUMBUGUCHU,KANUNGU,MUKONO,1361.8,24.0,0.29000000000000004,20.0,,,,,,,,2.0,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1427.6,67.0,0.0,120.0,,,,,,,,,,,28.0,2022
RUTU-KANYANKYENDE,KANUNGU,RUTUGUNDA,1389.4,52.0,0.5,60.0,17.0,,,,,,,,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1419.7,50.0,1.5,90.0,,,,,,,,,,,,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1404.1,39.0,1.75,30.0,,,,,,,,,,,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1609.1,35.0,0.0,120.0,,,,,,,,,,,,2022
KYES-KYESHERO CENTRAL,KANUNGU,KYESHERO,1236.3,33.0,1.975,60.0,65.0,,,,,,,,,,,2022
MUKO-MUKONGORO,KANUNGU,MUKONO,1531.9,55.0,0.975,40.0,90.0,,4.0,,,,,,,,,2022
MUKO-RUBONA,KANUNGU,MUKONO,1563.3,40.0,1.4,90.0,,,,,,,,,,25.0,60.0,2022
MUKO-MUKONO,KANUNGU,MUKONO,1403.6,72.0,0.65,50.0,,,,,,,,,,,,2022
KYES-NYAKISHOJWA,KANUNGU,KYESHERO,1230.2,34.0,0.0,60.0,50.0,,,,,,,,,,,2022
MUKO-NYAKEINA,KANUNGU,MUKONO,1391.8,60.0,0.88,40.0,45.0,,,,45.0,,,,,,,2022
KYES-KASHENYI,KANUNGU,KYESHERO,1643.0,23.0,1.475,60.0,60.0,,,,,,,,,,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1444.6,40.0,2.975,30.0,75.0,,,,,,,,,,,2022
RUTU-KYEIJANGA,KANUNGU,RUTUGUNDA,1498.0,40.0,0.975,60.0,,,,,,,,,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1427.0,76.0,1.0,120.0,200.0,,,,,35.0,,,,,300.0,2022
MUKO-KANYASHANDE,KANUNGU,MUKONO,1391.6,26.0,0.0,30.0,,,,,,,,,,,,2022
MUKO-KYUMBUGUCHU,KANUNGU,MUKONO,1395.8,38.0,0.28,10.0,,,,,,,,4.5,,,,2022
KYES-KATIBA,KANUNGU,KYESHERO,1487.5,35.0,0.475,60.0,160.0,,,,,,,,,,,2022
