pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Kakari_I_B,Rubirizi,Kakari,1020.3238095238095,50.476190476190474,0.8761904761904761,23.714285714285715,133.73333333333332,,3.0,,103.33333333333333,,,,,102.52380952380952,235.84615384615384,2022
Kanjenje,Rubirizi,Nyandongo,1340.9583333333333,44.875,1.0717391304347825,67.08333333333333,95.3157894736842,6.0,3.0,,122.5,,,,,64.16666666666667,40.55555555555556,2022
Karembo,Rubirizi,Rugarama,1048.2124999999999,42.875,0.9291666666666667,31.041666666666668,123.8,11.5,4.0,,122.5,180.0,,5.0,108.16666666666667,64.6842105263158,165.34375,2022
Katabago_I,Rubirizi,Kyabakara,1003.6967741935483,45.483870967741936,0.8709677419354839,19.548387096774192,120.0,4.5,6.916666666666667,,121.11111111111111,150.0,,,135.0,56.8,117.14285714285714,2022
Katabago_II,Rubirizi,Kyabakara,1016.4433333333333,52.4,1.920689655172414,20.5,115.28571428571429,2.75,51.25,,69.8,,,,73.0,116.93103448275862,92.5,2022
Katehe,Rubirizi,Nyabubare,1095.625,45.791666666666664,1.3727272727272728,24.791666666666668,132.91666666666666,,5.0,,690.0,,,,40.0,57.416666666666664,222.72727272727272,2022
Kinoni,Rubirizi,Nyabubare,1080.8041666666666,47.416666666666664,0.9608695652173914,31.791666666666668,154.94444444444446,,9.0,260.0,392.0,,,9.0,69.33333333333333,103.29166666666667,241.8421052631579,2022
Kyenjojo_I,Rubirizi,Kyabakara,1045.025,46.333333333333336,0.90625,30.625,129.75,,,,285.0,110.0,,,,32.53333333333333,170.0,2022
Kyenjojo_II,Rubirizi,Kyabakara,1036.675,50.166666666666664,0.6687500000000001,22.208333333333332,101.3529411764706,9.0,100.0,,112.85714285714286,,,,,104.6086956521739,131.75,2022
Mikonebiiri_A,Rubirizi,Munyonyi,1311.3875,42.625,1.1238095238095238,24.791666666666668,108.0,10.0,7.0,,138.33333333333334,,,,,178.45,154.58333333333334,2022
Mikonebiiri_B,Rubirizi,Munyonyi,1324.5,46.233333333333334,1.1116666666666668,31.5,112.48,16.545454545454547,7.5,,120.0909090909091,,,,50.0,78.75,243.75,2022
