pre_village,Agriculture Value (USD),pre_district
Kyanyamishwa,122.97297297297297,Rukungiri
Kagorogoro,175.0,Rukungiri
Kafu-Kagasha,267.1081081081081,Rukungiri
Kafu-Nyabishaki,264.86486486486484,Rukungiri
Kafu-Kagasha,316.2162162162162,Rukungiri
Kikoni B,235.13513513513513,Rukungiri
Kafu-Nyamabare,351.35135135135135,Rukungiri
Rugarama_Burama,366.2162162162162,Rukungiri
Kyanyamishwa,293.2432432432432,Rukungiri
Kato-Rutooma,196.21621621621622,Rukungiri
Kabeshekyere,293.7837837837838,Rukungiri
Nyakasharara,165.13513513513513,Rukungiri
Kato-Nyakabare,254.05405405405406,Rukungiri
Kibarama,124.86486486486487,Rukungiri
Burebane_Katonya,94.5945945945946,Rukungiri
Kafu-Bugomora,148.64864864864865,Rukungiri
Kibarama,385.13513513513516,Rukungiri
Kyanyamishwa,114.86486486486487,Rukungiri
Kafu-Kajubwe,336.4864864864865,Rukungiri
Kafu-Nyakakizi,340.4054054054054,Rukungiri
Kyanyamishwa,389.18918918918916,Rukungiri
Rwemirongo,162.16216216216216,Rukungiri
Kafu-Nyabishaki,290.47297297297297,Rukungiri
Kyanika B,311.6216216216216,Rukungiri
Kato-Kajumera,99.32432432432432,Rukungiri
Nyakasharara,313.2432432432432,Rukungiri
Kato-Rutooma,370.27027027027026,Rukungiri
Kafu-Bugandaza,112.16216216216216,Rukungiri
Torotoro,374.05405405405406,Rukungiri
Rugarama_Katonya,394.5945945945946,Rukungiri
Kato-Mukajagiro,89.1891891891892,Rukungiri
Rugarama_Katonya,213.51351351351352,Rukungiri
Rugarama_Katonya,213.51351351351352,Rukungiri
Rwemirongo,314.86486486486484,Rukungiri
Kato-Ndyabihanga,155.40540540540542,Rukungiri
Rugarama_Burama,128.9189189189189,Rukungiri
Karuhara,198.51351351351352,Rukungiri
Kato-Nyarubira,294.5945945945946,Rukungiri
Kafu-Rugazi,70.27027027027027,Rukungiri
Kafu-Kajubwe,348.64864864864865,Rukungiri
Kato-Rwangura,337.97297297297297,Rukungiri
Nyakaju,314.86486486486484,Rukungiri
Kahoro,301.35135135135135,Rukungiri
Torotoro,340.4054054054054,Rukungiri
Nyakasharara,286.4864864864865,Rukungiri
Rwemirongo,256.7567567567568,Rukungiri
Kikoni B,328.5135135135135,Rukungiri
Kafu-Nyakakizi,284.5945945945946,Rukungiri
Kato-Mukajagiro,213.51351351351352,Rukungiri
Kagati,149.45945945945945,Rukungiri
Rugarama_Burama,320.0,Rukungiri
Nyakatokye,217.78378378378378,Rukungiri
Kato-Nyakashenyi,259.4594594594595,Rukungiri
Burebane_Katonya,278.3783783783784,Rukungiri
Rugarama_Burama,348.64864864864865,Rukungiri
Kahoro,277.02702702702703,Rukungiri
Kamira,317.56756756756755,Rukungiri
Nyakaju,378.3783783783784,Rukungiri
Kato-Mukajagiro,291.8918918918919,Rukungiri
Kibarama,199.32432432432432,Rukungiri
Kagati,177.67567567567568,Rukungiri
Kafu-Bugandaza,225.27027027027026,Rukungiri
Kafu-Kagorogoro,364.72972972972974,Rukungiri
Kato-Rujoka,340.81081081081084,Rukungiri
Kafu-Kafunjo Cell,341.2162162162162,Rukungiri
Torotoro,309.4594594594595,Rukungiri
Kafu-Kagasha,142.97297297297297,Rukungiri
Kyanyamishwa,94.5945945945946,Rukungiri
Kato-Nyakabare,208.1081081081081,Rukungiri
Kato-Rutooma,329.72972972972974,Rukungiri
Rushinya,305.6756756756757,Rukungiri
Nyakaju,253.24324324324326,Rukungiri
Kafu-Kafunjo Cell,454.86486486486484,Rukungiri
Kato-Bugarama,397.56756756756755,Rukungiri
Nyakaju,237.56756756756758,Rukungiri
Kafu-Kabuzigye,336.4864864864865,Rukungiri
Kafu-Bugandaza,202.7027027027027,Rukungiri
Burebane_Katonya,135.13513513513513,Rukungiri
Rushinya,251.35135135135135,Rukungiri
Kafu-Rugandu,64.86486486486487,Rukungiri
Karuhara,105.4054054054054,Rukungiri
Kibarama,392.43243243243245,Rukungiri
Kafu-Rugazi,296.7567567567568,Rukungiri
Kato-Kashenyi,345.6756756756757,Rukungiri
Kafu-Bugandaza,338.3783783783784,Rukungiri
Kamira,455.5405405405405,Rukungiri
Nyakasharara,210.8108108108108,Rukungiri
Torotoro,412.17905405405406,Rukungiri
Kamira,400.27027027027026,Rukungiri
Nyakasharara,468.9189189189189,Rukungiri
Kibarama,416.2162162162162,Rukungiri
Kagorogoro,350.5405405405405,Rukungiri
Kafu-Nyamabare,295.0,Rukungiri
Kagorogoro,410.81081081081084,Rukungiri
Kato-Nyakabare,424.3243243243243,Rukungiri
Kafu-Kabuzigye,202.7027027027027,Rukungiri
Kato-Rutooma,384.1216216216216,Rukungiri
Kato-Bugarama,351.35135135135135,Rukungiri
Kato-Rutooma,397.1621621621622,Rukungiri
Kafu-Kagasha,294.5945945945946,Rukungiri
Torotoro,341.6216216216216,Rukungiri
Kato-Mugurante,436.4864864864865,Rukungiri
Kafu-Nyabishaki,187.83783783783784,Rukungiri
Kahoro,189.1891891891892,Rukungiri
Kagorogoro,329.4594594594595,Rukungiri
Kato-Ndyabihanga,151.6216216216216,Rukungiri
Rushinya,273.2432432432432,Rukungiri
Kabeshekyere,444.5945945945946,Rukungiri
Kato-Bugarama,328.64864864864865,Rukungiri
Rugarama_Burama,94.5945945945946,Rukungiri
Nyakaju,332.43243243243245,Rukungiri
Kafu-Kajubwe,145.94594594594594,Rukungiri
Kato-Mushunga,402.7027027027027,Rukungiri
Kikoni B,336.4864864864865,Rukungiri
Kyanika A,302.7027027027027,Rukungiri
Kafu-Bugomora,277.2972972972973,Rukungiri
Kafu-Rugandu,62.567567567567565,Rukungiri
Kato-Rutooma,351.7567567567568,Rukungiri
Kafu-Nyaruziba,202.56756756756758,Rukungiri
Kato-Bugarama,270.27027027027026,Rukungiri
Kafu-Kijubwe,360.13513513513516,Rukungiri
Kafu-Bugomora,171.0810810810811,Rukungiri
Kato-Nyakabungo,347.2972972972973,Rukungiri
Kato-Bugarama,356.7567567567568,Rukungiri
Kyanika A,313.5135135135135,Rukungiri
Rugarama_Katonya,395.6756756756757,Rukungiri
Kabeshekyere,309.72972972972974,Rukungiri
Kafu-Nyaruziba,237.56756756756758,Rukungiri
Rwemirongo,204.05405405405406,Rukungiri
Kato-Nyarubira,291.4189189189189,Rukungiri
Kafu-Kajubwe,44.5945945945946,Rukungiri
Kafu-Rugandu,409.4594594594595,Rukungiri
Rukungiri,94.5945945945946,Rukungiri
Kafu-Rutooma,321.8918918918919,Rukungiri
Kikoni A,340.27027027027026,Rukungiri
Kafu-Nyamabare,355.4054054054054,Rukungiri
Kafu-Bugomora,189.16216216216216,Rukungiri
Kato-Rwangura,452.97297297297297,Rukungiri
Kafu-Nyakakizi,371.6216216216216,Rukungiri
Kamira,454.05405405405406,Rukungiri
Kato-Bugarama,378.81081081081084,Rukungiri
Kafu-Kabuzigye,379.72972972972974,Rukungiri
Kato-Mukajagiro,351.35135135135135,Rukungiri
Rushinya,375.6756756756757,Rukungiri
Kafu-Kabijaga,187.83783783783784,Rukungiri
Torotoro,427.02702702702703,Rukungiri
Kabeshekyere,414.86486486486484,Rukungiri
Kyanyamishwa,286.2162162162162,Rukungiri
Kikoni B,211.0810810810811,Rukungiri
Kikoni B,393.2432432432432,Rukungiri
Nyakasharara,475.6756756756757,Rukungiri
Kikoni A,466.2162162162162,Rukungiri
Kato-Mukajagiro,455.4054054054054,Rukungiri
Kato-Kashenyi,496.86486486486484,Rukungiri
Kitookye,505.94594594594594,Rukungiri
Kafu-Kafunjo Cell,358.9189189189189,Rukungiri
Kabeshekyere,406.7567567567568,Rukungiri
Kikoni B,313.5135135135135,Rukungiri
Kato-Kashenyi,81.62162162162163,Rukungiri
Kafu-Rugandu,409.4594594594595,Rukungiri
Kato-Kashenyi,472.1621621621622,Rukungiri
Kato-Ruhonwa,525.6756756756756,Rukungiri
Kagorogoro,168.3783783783784,Rukungiri
Kafu-Nyakakizi,172.97297297297297,Rukungiri
Kafu-Rugandu,312.1621621621622,Rukungiri
Kagati,181.0810810810811,Rukungiri
Rwemirongo,320.27027027027026,Rukungiri
Torotoro,406.7567567567568,Rukungiri
Kafu-Kagasha,315.94594594594594,Rukungiri
Kato-Kajumera,159.45945945945945,Rukungiri
Kafu-Bugomora,167.56756756756758,Rukungiri
Kato-Nyakabare,303.2432432432432,Rukungiri
Kato-Ruhonwa,353.5135135135135,Rukungiri
Rugarama_Burama,141.8918918918919,Rukungiri
Kato-Mukajagiro,412.1621621621622,Rukungiri
Rushinya,490.81081081081084,Rukungiri
Kagati,423.35135135135135,Rukungiri
Kato-Rutooma,321.0810810810811,Rukungiri
Kato-Nyakabare,50.54054054054054,Rukungiri
Kikoni B,429.05405405405406,Rukungiri
Kafu-Rugandu,318.9189189189189,Rukungiri
Torotoro,231.0810810810811,Rukungiri
Kato-Bugarama,431.0810810810811,Rukungiri
Kato-Bugarama,507.8378378378378,Rukungiri
Kato-Ruhonwa,443.2432432432432,Rukungiri
Kabeshekyere,243.24324324324326,Rukungiri
Kato-Rwangura,369.4594594594595,Rukungiri
Kabeshekyere,360.81081081081084,Rukungiri
Kato-Ndyabihanga,262.5810810810811,Rukungiri
Kafu-Kagasha,94.5945945945946,Rukungiri
Kibarama,208.1081081081081,Rukungiri
Kato-Bugarama,242.43243243243242,Rukungiri
Kikoni B,407.97297297297297,Rukungiri
Kafu-Kabijaga,151.35135135135135,Rukungiri
Kato-Rwangura,437.97297297297297,Rukungiri
Kafu-Kajubwe,471.6216216216216,Rukungiri
Kafu-Kabuzigye,499.4594594594595,Rukungiri
Nyakaju,274.86486486486484,Rukungiri
Kafu-Kabuzigye,268.9189189189189,Rukungiri
Kato-Nyakabare,39.189189189189186,Rukungiri
Kagati,382.56756756756755,Rukungiri
Kafu-Kabijaga,393.7837837837838,Rukungiri
Nyakasharara,378.3783783783784,Rukungiri
Kafu-Bugomora,310.81081081081084,Rukungiri
Nyakatokye,148.64864864864865,Rukungiri
Kafu-Rugazi,362.8378378378378,Rukungiri
Kabeshekyere,111.89189189189189,Rukungiri
Kato-Ndyabihanga,143.24324324324326,Rukungiri
Kato-Ndyabihanga,373.85135135135135,Rukungiri
Burebane_Katonya,445.4054054054054,Rukungiri
Kato-Nyarubira,301.97297297297297,Rukungiri
Kato-Nyakabungo,125.0,Rukungiri
Kato-Bugarama,83.24324324324324,Rukungiri
Rugarama_Katonya,174.32432432432432,Rukungiri
Rugarama_Katonya,174.32432432432432,Rukungiri
Kafu-Kabuzigye,494.5945945945946,Rukungiri
Kyanyamishwa,288.5135135135135,Rukungiri
Kafu-Kijubwe,378.3783783783784,Rukungiri
Kato-Nyakabungo,199.45945945945945,Rukungiri
Kyanyamishwa,364.86486486486484,Rukungiri
Kato-Nyakabungo,235.13513513513513,Rukungiri
Kafu-Kagasha,168.64864864864865,Rukungiri
Kahama,302.7027027027027,Rukungiri
Kafu-Kagorogoro,156.75675675675674,Rukungiri
Kamira,132.43243243243242,Rukungiri
Kamira,405.4054054054054,Rukungiri
Kabeshekyere,565.4054054054054,Rukungiri
Kafu-Rutooma,533.7837837837837,Rukungiri
Kyanika B,488.97297297297297,Rukungiri
Kato-Ruhonwa,395.31081081081084,Rukungiri
Kafu-Nyabishaki,419.8918918918919,Rukungiri
Kagorogoro,320.27027027027026,Rukungiri
Rushinya,325.81081081081084,Rukungiri
Kyanika B,391.8918918918919,Rukungiri
Kyanyamishwa,206.21621621621622,Rukungiri
Kamira,407.9054054054054,Rukungiri
Kibarama,86.48648648648648,Rukungiri
Rushinya,356.7567567567568,Rukungiri
Kafu-Rugazi,217.21621621621622,Rukungiri
Kafu-Rutooma,509.4594594594595,Rukungiri
Kafu-Kagasha,216.21621621621622,Rukungiri
Kafu-Nyabishaki,328.35135135135135,Rukungiri
Kafu-Kabuzigye,499.4594594594595,Rukungiri
Kato-Nyarubira,562.1621621621622,Rukungiri
Kafu-Rugandu,317.56756756756755,Rukungiri
Rugarama_Katonya,547.5675675675676,Rukungiri
Kato-Kashenyi,416.2162162162162,Rukungiri
Rushinya,340.5405405405405,Rukungiri
Rugarama_Katonya,213.51351351351352,Rukungiri
Rugarama_Katonya,213.51351351351352,Rukungiri
Nyakatokye,48.648648648648646,Rukungiri
Rushinya,555.4054054054054,Rukungiri
Kato-Rutooma,33.78378378378378,Rukungiri
Kagati,473.7837837837838,Rukungiri
Kato-Kashenyi,471.4864864864865,Rukungiri
Kafu-Rugazi,424.3243243243243,Rukungiri
Kato-Rutooma,486.6216216216216,Rukungiri
Kafu-Kabijaga,257.56756756756755,Rukungiri
Kafu-Kijubwe,509.4594594594595,Rukungiri
Nyakasharara,318.9189189189189,Rukungiri
Kafu-Kafunjo Cell,462.1621621621622,Rukungiri
Kafu-Nyaruziba,267.8378378378378,Rukungiri
Kikoni B,398.9189189189189,Rukungiri
Kafu-Kagasha,50.0,Rukungiri
Nyakatokye,516.2162162162163,Rukungiri
Kato-Kashenyi,403.2432432432432,Rukungiri
Nyakaju,278.9189189189189,Rukungiri
Kafu-Nyaruziba,570.8108108108108,Rukungiri
Kato-Mugurante,523.5135135135135,Rukungiri
Kafu-Nyakakizi,122.02702702702703,Rukungiri
Kafu-Nyakakizi,242.43243243243242,Rukungiri
Kamira,209.45945945945945,Rukungiri
Kato-Rujoka,435.13513513513516,Rukungiri
Nyakasharara,317.8378378378378,Rukungiri
Kyanyamishwa,198.1081081081081,Rukungiri
Kato-Nyarubira,248.64864864864865,Rukungiri
Kabeshekyere,506.7567567567568,Rukungiri
Kagorogoro,469.72972972972974,Rukungiri
Kato-Bugarama,344.3243243243243,Rukungiri
Nyakasharara,171.35135135135135,Rukungiri
Kikoni B,506.2162162162162,Rukungiri
Kafu-Kajubwe,12.162162162162161,Rukungiri
Kafu-Kagorogoro,234.86486486486487,Rukungiri
Kafu-Kijubwe,532.4324324324324,Rukungiri
Kato-Kajumera,202.7027027027027,Rukungiri
Kato-Ruhonwa,291.8918918918919,Rukungiri
Kato-Nyakabungo,261.2162162162162,Rukungiri
Kato-Nyakashenyi,33.78378378378378,Rukungiri
Kato-Nyarubira,292.2972972972973,Rukungiri
Kafu-Kagorogoro,421.4864864864865,Rukungiri
Kato-Ndyabihanga,227.02702702702703,Rukungiri
Kato-Ndyabihanga,483.3783783783784,Rukungiri
Kahama,208.1081081081081,Rukungiri
