pre_village,pre_district,Pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Kisiizi_2,Mitooma,,0.0,35,80.0,1.25,,,,,,,,,,,
Nyakashebeya,Mitooma,,1070.0,52,10.0,1.0,,,,,,,,,,,
Kengyeya,Mitooma,,0.0,53,50.0,2.75,,,,,,,,,,,
Rubaya,Mitooma,,0.0,45,30.0,1.0,100.0,,,,,,,,,0.0,
Kyeshabo,Mitooma,,0.0,32,180.0,0.0,90.0,,,,,,,,,,
Kisiizi_1,Mitooma,,1149.0,80,60.0,0.075,,,,,,,,,,,30.0
Nyakashebeya,Mitooma,,1107.0,47,20.0,0.9975,,,,,,,,,,,
Karokarungi,Mitooma,,1133.0,56,35.0,2.28,,,,,,,,,,0.0,
Ruzonga,Mitooma,,1121.0,40,30.0,0.8,70.0,,,,,,,,,,70.0
Kairabwa,Mitooma,,1167.0,60,40.0,0.25,,,,,,,,,,,
Kyemengo,Mitooma,,1148.0,63,30.0,1.8,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,26,15.0,0.35,,,,,,,,,,,40.0
Karokarungi,Mitooma,,0.0,66,20.0,0.88,,,,,,,,,,,
Karokarungi,Mitooma,,0.0,28,60.0,0.38,,,,,,,,,,,
Karokarungi,Mitooma,,1136.0,32,45.0,0.29,,,0.0,,,,,,,,
Ruzonga,Mitooma,,1123.0,80,30.0,7.95,55.0,,5.0,,,,,,,,
Nyabubaare,Mitooma,,1116.0,60,60.0,0.75,,,,,,,,,,,
Kisiizi_2,Mitooma,,1155.0,24,30.0,0.25,,,,,,,,,,,1.0
Kyabukama,Mitooma,,1618.0,70,20.0,0.0,43.0,,,,,,,,,,
Rutoobo,Mitooma,,1164.0,52,20.0,0.3,65.0,,,,,,,2.0,,,
Kairabwa,Mitooma,,0.0,35,20.0,0.25,65.0,,,,,,,2.0,,0.0,
Ndurumo_Rwoburunga,Mitooma,,1185.0,64,30.0,0.75,30.0,,0.5,,,,,3.0,,100.0,
Nyanga,Mitooma,,1162.0,26,40.0,0.25,,,,,,,,,,15.0,1.0
Ndurumo_Rwoburunga,Mitooma,,1156.0,28,10.0,0.0,,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1161.0,36,30.0,0.75,35.0,,,,,,,,,40.0,60.0
Kafunjo,Mitooma,,0.0,50,40.0,1.75,47.0,,,,,,,,,,
Ruzonga,Mitooma,,1115.0,35,60.0,0.25,,,,,,,,,,,
Rubaya,Mitooma,,0.0,40,60.0,0.25,,,,,,,,,,,
Bukiriro_1,Mitooma,,1106.0,33,15.0,0.5,60.0,,,,,,,,,20.0,
Karokarungi,Mitooma,,1130.0,30,45.0,0.58,,,0.0,,,,,,,0.0,
Rwemirama,Mitooma,,0.0,40,40.0,1.88,,,,,,80.0,,,,,
Nyakashebeya,Mitooma,,1116.0,27,40.0,2.75,95.0,,,,,,,,,,
Kagati_Kiyanga,Mitooma,,0.0,43,60.0,0.75,62.0,,,,,,,,,,
Kisiizi_2,Mitooma,,0.0,44,60.0,0.75,,,,,,,,2.0,,,50.0
Nyakashebeya,Mitooma,,1110.0,26,20.0,1.75,40.0,,,,,,,,40.0,,
Karukare,Mitooma,,1677.0,56,120.0,0.75,40.0,,,,,,,,,40.0,150.0
Rutoobo,Mitooma,,1162.0,42,180.0,0.38,,,,,,,,,,,
Kirama,Mitooma,,1139.0,36,20.0,0.0,,,,,,,,,,,
Ruzonga,Mitooma,,1127.0,67,120.0,0.25,,,,,,,,,,,
Rwoburunga,Mitooma,,1219.0,45,30.0,0.25,,,,,,,,,,30.0,
Kengyeya,Mitooma,,0.0,50,60.0,1.75,,,,,,,,,,,
Kibishamwika,Mitooma,,1275.0,30,60.0,0.3,,,,,,,,,,50.0,50.0
Karokarungi,Mitooma,,0.0,38,20.0,2.88,,,,,,,,,,,
Kakyeza,Mitooma,,1694.0,55,30.0,0.25,,,,,,,,,,40.0,1.0
Karokarungi,Mitooma,,0.0,54,60.0,0.88,20.0,,,,,,,,40.0,,
Nyabubaare,Mitooma,,0.0,23,40.0,0.15,85.0,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,75,60.0,0.25,60.0,,,,,,,,,6.0,
Kakyeza,Mitooma,,1165.0,33,60.0,0.25,25.0,,,,,,,1.5,,0.0,
Muzinga,Mitooma,,1142.0,56,120.0,1.8,,,2.0,,,,,2.0,,,
Kisiizi_1,Mitooma,,1145.0,38,45.0,0.575,,,,,,,,2.0,,,100.0
Rubaya,Mitooma,,0.0,58,20.0,2.0,105.0,,,,,,,,,0.0,0.0
Kamabare,Mitooma,,1120.0,32,180.0,0.25,,,,,,,,2.5,,,10.0
Orujeebe,Mitooma,,1622.0,72,60.0,1.45,,,,,,,,,,0.0,
Nyabubaare,Mitooma,,0.0,34,180.0,0.1,,,,,,,,,,15.0,15.0
Kisiizi_2,Mitooma,,0.0,42,60.0,0.25,,,,,,,,,,,
Nyanga,Mitooma,,1161.0,43,40.0,0.75,110.0,,,,,,,,,,2.0
Kisiizi_1,Mitooma,,1153.0,50,20.0,1.25,,,,,,,,,,,1.0
Kakimba,Mitooma,,1145.0,43,30.0,0.35,,,,,,,,,,,40.0
Nyakashebeya,Mitooma,,970.0,45,5.0,0.0,,,,,,,,,,,
Kibishamwika,Mitooma,,1249.0,22,120.0,0.3,95.0,,,,,,,,,35.0,
Kisiizi_2,Mitooma,,1233.0,65,60.0,0.5,,,,,,,,,,,
Orujeebe,Mitooma,,1616.0,40,60.0,1.97,,,,,,,,,,0.0,0.0
Karokarungi,Mitooma,,1144.0,35,30.0,0.68,,,0.0,,,,,,,,
Kairabwa,Mitooma,,1183.0,32,50.0,0.25,,,,,,,,,,20.0,1.0
Rwoburunga,Mitooma,,1223.0,80,25.0,0.5,35.0,,5.0,,,,,3.0,,25.0,
Rutoobo,Mitooma,,1123.0,47,90.0,0.3,,,,,,,,,,,30.0
Kakyeza,Mitooma,,1165.0,45,20.0,0.25,40.0,,,,,,,8.0,,0.0,0.0
Kashambya,Mitooma,,1155.0,37,60.0,0.9,80.0,,,,,,,,,,
Nyamisheshe,Mitooma,,1587.0,25,15.0,0.0,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,40,30.0,0.25,45.0,,,,,,,,,,80.0
Orujeebe,Mitooma,,0.0,68,60.0,0.63,110.0,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1150.0,51,180.0,0.3,90.0,,,,,,,,,,
Kyabukama,Mitooma,,1607.0,54,30.0,1.75,40.0,,,,,59.0,,2.0,,,
Rwoburunga,Mitooma,,1196.0,22,60.0,0.0,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,27,80.0,0.5,,,,,,,,,,,
Muzinga,Mitooma,,1149.0,51,120.0,0.0,,,,,,,,,,50.0,
Kyabukama,Mitooma,,1610.0,34,30.0,1.3,,,5.0,,,,,9.0,,,
Rutoobo,Mitooma,,1116.0,40,120.0,0.75,,,,,,,,,,,
Nyanga,Mitooma,,2.0,64,60.0,0.6,,,,,,,,,,,0.0
Rutoobo,Mitooma,,1136.0,79,30.0,0.75,105.0,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1150.0,30,25.0,0.75,95.0,,,,,,,,,50.0,
Bukiriro_2,Mitooma,,1123.0,20,20.0,0.4975,,,,,,,,,,,128.0
Rushoroza,Mitooma,,1109.0,57,60.0,0.9975,112.0,,,,,,,,,,
Kirama,Mitooma,,1124.0,75,20.0,1.78,,,,,,,,,,,
Kengyeya,Mitooma,,0.0,38,30.0,0.025,,,,,,,,,,,
Nyakagongo,Mitooma,,0.0,37,70.0,0.75,50.0,,,,,,,3.0,,35.0,200.0
Orujeebe,Mitooma,,0.0,36,20.0,1.05,,,,,,,,,,,
Kengyeya,Mitooma,,0.0,50,40.0,1.75,,,,,,,,,,,
Karokarungi,Mitooma,,0.0,66,60.0,6.75,140.0,,,,,,,,,,
Bukiriro_1,Mitooma,,1259.0,80,35.0,3.75,90.0,,,,,,,,,60.0,
Kyeshabo,Mitooma,,0.0,70,80.0,0.75,,,,,,,,,,,
Bukiriro_2,Mitooma,,1132.0,27,15.0,0.125,,,,,,,,4.0,,15.0,20.0
Kagati_Kiyanga,Mitooma,,0.0,36,45.0,0.25,,,,,,,,,,,
Kamabare,Mitooma,,0.0,72,60.0,0.75,,,,,,,,,,,250.0
Rwemirama,Mitooma,,0.0,44,60.0,0.45,,,,,,,,,,,
Kengyeya,Mitooma,,0.0,43,60.0,0.75,,,3.0,,,,,,,0.0,
Kagati_Kiyanga,Mitooma,,0.0,26,30.0,0.0,,,,,,,,,,,100.0
Kakimba,Mitooma,,1233.0,60,15.0,0.35,34.0,,,,,,,,,,30.0
Karukare,Mitooma,,1684.0,31,30.0,0.25,140.0,,,,,,,,,40.0,
Rugando_Rwanja,Mitooma,,1165.0,40,60.0,0.25,80.0,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1175.0,42,30.0,0.75,110.0,,,,,,,,,,
Kanganga,Mitooma,,0.0,85,60.0,0.75,26.0,,,,,,,,,40.0,40.0
Karokarungi,Mitooma,,1157.0,28,45.0,0.0,,,,,,,,,,,
Kamabare,Mitooma,,1129.0,27,90.0,0.75,35.0,,,,,,,,,30.0,
Kagati_Kiyanga,Mitooma,,0.0,26,60.0,0.25,115.0,,,,,70.0,,,,,
Kengyeya,Mitooma,,0.0,21,30.0,0.25,,,,,,,,,,,
Orujeebe,Mitooma,,0.0,38,80.0,0.1,,,,,,,,,,,
Kyemengo,Mitooma,,1151.0,80,30.0,0.25,,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1167.0,43,30.0,0.25,90.0,,,,,,,,,50.0,
Nyakagongo,Mitooma,,1288.0,23,40.0,0.075,14.0,,,,,,,0.5,,15.0,15.0
Kakimba,Mitooma,,1233.0,22,60.0,0.3,,,,,,,,,,,
Kisiizi_2,Mitooma,,0.0,49,35.0,1.0,95.0,,,,,,,,55.0,,
Kyemengo,Mitooma,,1157.0,19,5.0,0.3,70.0,,,,,,,,,,
Kengyeya,Mitooma,,0.0,37,50.0,1.75,,,,,,,,,,,
Bukiriro_2,Mitooma,,1146.0,42,10.0,1.75,,,,,,,,,,40.0,2.0
Kamabare,Mitooma,,0.0,38,60.0,0.278,40.0,,,,,50.0,,,,50.0,20.0
Kakimba,Mitooma,,1212.0,89,40.0,1.375,,,,,,,,,,,100.0
Kyabukama,Mitooma,,1573.0,62,180.0,0.25,100.0,,2.0,,,,,2.0,,,
Kakyeza,Mitooma,,1668.0,39,60.0,0.25,50.0,,,,,,,,,35.0,
Rwoburunga,Mitooma,,1239.0,43,140.0,0.75,55.0,,,,,,,2.0,,55.0,
Kashambya,Mitooma,,1134.0,62,120.0,0.8,70.0,,,,,,,2.0,,55.0,50.0
Rwoburunga,Mitooma,,1216.0,37,25.0,0.75,30.0,,,,,,,5.0,105.0,,80.0
Kamabare,Mitooma,,1127.0,40,30.0,0.25,140.0,,,,,,,,,20.0,50.0
Nyabubaare,Mitooma,,1090.0,34,120.0,0.4,40.0,,,,,,,,,,
Nyaruzinga,Mitooma,,1669.0,70,45.0,2.975,,,,,,,,,,79.0,
Nyanga,Mitooma,,2.0,53,60.0,0.5,,,2.0,,,,,,105.0,0.0,
Rubaya,Mitooma,,0.0,60,60.0,1.75,35.0,,5.0,,,,,3.0,,0.0,
Nyarwanya_Rwanja,Mitooma,,1611.0,38,25.0,0.0,130.0,,,,,,,,,,
Kisiizi_2,Mitooma,,1160.0,55,40.0,0.25,90.0,,,,,,,,,30.0,1.0
Nyabubaare,Mitooma,,0.0,35,60.0,0.15,5.5,,,,,,,,,,
Rubaya,Mitooma,,1122.0,49,30.0,0.25,,,,,,,,,60.0,,2.0
Ruzonga,Mitooma,,1123.0,28,30.0,1.3,,,,,,,,,,,
Kisiizi_1,Mitooma,,0.0,24,60.0,0.5,35.0,,1.5,,,,,4.0,,10.0,50.0
Bukiriro_1,Mitooma,,1103.0,61,60.0,0.75,,,,,,,,,,56.0,1.0
Rwemirama,Mitooma,,0.0,23,30.0,0.5,,,,,,,,,,,
Kyemengo,Mitooma,,1151.0,24,15.0,0.5,,,,,,,,,,,
Kisiizi_2,Mitooma,,1159.0,53,30.0,0.25,45.0,,,,,,,,,,100.0
Kairabwa,Mitooma,,0.0,38,75.0,0.25,85.0,,,,,,,,,,
Muzinga,Mitooma,,1153.0,60,20.0,0.9,32.0,,,,,,,,,50.0,20.0
Kengyeya,Mitooma,,0.0,88,30.0,2.75,,,5.0,,,,,9.0,,,
Bukiriro_1,Mitooma,,1143.0,20,30.0,0.25,110.0,,3.0,,,,,7.0,,0.0,
Rwoburunga,Mitooma,,1217.0,43,30.0,4.75,110.0,,,,,,,,,60.0,
Karokarungi,Mitooma,,1142.0,40,40.0,2.78,,,,,,,,,,,
Rushoroza,Mitooma,,1161.0,78,30.0,0.75,,,,,,,,,,,
Kyabukama,Mitooma,,1627.0,84,90.0,2.8,,,,,,,,,,,
Kirama,Mitooma,,0.0,55,80.0,1.79,,,,,,,,,,,
Rubaya,Mitooma,,1108.0,23,30.0,0.25,,,,,,,,,,,2.0
Kamabare,Mitooma,,0.0,40,60.0,0.75,,,,,,,,,,,
Kyemengo,Mitooma,,1156.0,38,120.0,0.8,,,,,,,,,,,
Kibishamwika,Mitooma,,1244.0,24,120.0,0.3,,,2.0,,,,,2.0,,50.0,50.0
Nyarwanya_Rwanja,Mitooma,,1651.0,39,30.0,1.25,100.0,,,,,,,,,70.0,
Nyaruzinga,Mitooma,,1680.0,30,70.0,1.4975,95.0,,,,,,,,55.0,36.0,
Nyarwanya_Rwanja,Mitooma,,1628.0,57,45.0,0.75,,,,,,,,,,30.0,
Rutoobo,Mitooma,,1139.0,50,30.0,2.75,60.0,,,,,,,4.0,,,
Kagati_Kiyanga,Mitooma,,0.0,32,60.0,0.25,,,,120.0,,,,,,20.0,50.0
Nyaruzinga,Mitooma,,1696.0,60,30.0,0.75,110.0,,,,,,,,,50.0,
Kairabwa,Mitooma,,0.0,52,60.0,0.75,100.0,,2.0,,,,,2.0,,,
Kagati_Kiyanga,Mitooma,,0.0,38,60.0,0.25,,,,,,,,,,40.0,
Kyabukama,Mitooma,,1571.0,25,30.0,0.3,62.0,,,,,,,,,,
Rugando_Rwanja,Mitooma,,1165.0,70,120.0,0.75,46.0,,,,,,,,,,
Bukiriro_1,Mitooma,,1111.0,60,60.0,0.75,45.0,,,,,,,4.0,68.0,50.0,
Kakimba,Mitooma,,1142.0,64,15.0,2.8,,,,,,,,,,30.0,120.0
Rushoroza,Mitooma,,1187.0,49,50.0,1.75,,,,,,,,,,,
Ruzonga,Mitooma,,1123.0,73,20.0,1.8,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,25,120.0,1.35,,,,,,,,,,60.0,0.0
Bukiriro_2,Mitooma,,1127.0,62,20.0,2.975,,,,,,,,,,,150.0
Nyabubaare,Mitooma,,1099.0,21,60.0,0.5,,,,,,,,,,,
Nyanga,Mitooma,,2.0,66,20.0,0.75,145.0,,4.0,,,,,10.0,,0.0,
Ndurumo_Rwoburunga,Mitooma,,1157.0,40,35.0,0.0,75.0,,,,,,,,,,
Nyakagongo,Mitooma,,1276.0,34,20.0,0.825,55.0,,,,,,,2.0,,40.0,10.0
Nyaruzinga,Mitooma,,1664.0,48,30.0,0.275,70.0,,,,,,,,,40.0,
Kyeshabo,Mitooma,,0.0,28,60.0,1.95,,,,,,,,,,,150.0
Kisiizi_1,Mitooma,,0.0,42,180.0,0.25,,,,,,,,,,,50.0
Nyaruzinga,Mitooma,,1673.0,52,75.0,1.4975,,,,,,,,,,70.0,
Muzinga,Mitooma,,1159.0,80,120.0,1.8,60.0,,,,,,,,,,
Kirama,Mitooma,,1134.0,38,30.0,0.28,,,,,,,,,,,
Kibishamwika,Mitooma,,1301.0,70,50.0,2.9,50.0,,,,,,,5.0,,,100.0
Rutoobo,Mitooma,,1114.0,50,4.0,1.75,,,,,,,,,,,
Nyabyondo_Rwoburunga,Mitooma,,1293.0,41,60.0,0.65,,,,,,,,,,,
Rushoroza,Mitooma,,1171.0,60,30.0,4.75,150.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,41,60.0,0.38,,,,,,,,,,72.0,
Rwongora,Mitooma,,1599.0,42,120.0,0.7,100.0,,2.0,,,,,2.0,,,0.0
Nyabubaare,Mitooma,,0.0,38,60.0,0.4,140.0,,,100.0,,,,,,,
Kengyeya,Mitooma,,0.0,67,30.0,0.0,,,,,,,,,,,
Kamabare,Mitooma,,0.0,25,60.0,0.25,35.0,,,,,,,,,30.0,50.0
Nyabubaare,Mitooma,,0.0,30,60.0,0.6,,,,,,,,,20.0,,70.0
Kagati_Kiyanga,Mitooma,,0.0,43,60.0,0.25,,,,,,,,,,0.0,10.0
Kafunjo,Mitooma,,0.0,29,50.0,0.28,30.0,,,,,,,,,,
Rwoburunga,Mitooma,,1214.0,25,30.0,0.5,,,,,,,,,,0.0,
Kisiizi_2,Mitooma,,1153.0,45,30.0,0.75,,,4.0,,,,,,,,
Rwongora,Mitooma,,1567.0,45,120.0,0.2,100.0,,,,,,,11.0,62.0,50.0,
Kakyeza,Mitooma,,1165.0,36,60.0,0.25,50.0,,,,75.0,64.0,,3.0,,0.0,0.0
Bukiriro_2,Mitooma,,1170.0,64,50.0,0.475,,,,,,,,,,,
Rutoobo,Mitooma,,1157.0,21,60.0,0.0,,,,,,,,,,,
Rushoroza,Mitooma,,1202.0,36,10.0,0.49975,30.0,,,,,,,5.0,105.0,,
Kamabare,Mitooma,,1121.0,30,120.0,0.25,110.0,,,,,,,,,40.0,40.0
Orujeebe,Mitooma,,1667.0,70,30.0,0.15,,,,,,,,,,,
Kyemengo,Mitooma,,1170.0,30,120.0,0.25,,,,,,,,,,,
Rushoroza,Mitooma,,1083.0,24,30.0,0.0,65.0,,,,,120.0,,,,,
Ndurumo_Rwoburunga,Mitooma,,1168.0,61,120.0,0.05,65.0,,,,,120.0,,,,,
Kibishamwika,Mitooma,,1236.0,90,120.0,0.3,,,,,,,,,,50.0,
Ruzonga,Mitooma,,1146.0,45,120.0,0.05,90.0,,,,,,,,,,
Rwemirama,Mitooma,,0.0,51,60.0,0.2,62.0,,,,,,,,,120.0,
Kagati_Kiyanga,Mitooma,,0.0,56,60.0,0.25,,,,,,,,,,30.0,100.0
Nyakashebeya,Mitooma,,1102.0,23,30.0,0.0,100.0,,,,,,,,,,
Rugando_Rwanja,Mitooma,,1557.0,52,60.0,0.75,,,,,,,,,,60.0,
Orujeebe,Mitooma,,0.0,45,20.0,0.6,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,38,30.0,2.75,,,,,,,,,,,150.0
Kanganga,Mitooma,,1623.0,75,20.0,0.825,90.0,,,,,,,7.0,,,
Kafunjo,Mitooma,,0.0,46,70.0,1.78,80.0,20.75,,,,,,3.0,,,
Nyarwanya_Rwanja,Mitooma,,1627.0,41,60.0,0.75,140.0,,,,,,,,,50.0,
Ndurumo_Rwoburunga,Mitooma,,1169.0,60,15.0,5.75,,,,,,,,,,40.0,10.0
Rushoroza,Mitooma,,1199.0,40,60.0,0.0,,,,,,,,,,,
Ndurumo_Rwoburunga,Mitooma,,1176.0,50,35.0,1.25,43.0,,,,,,,,,70.0,50.0
Kisiizi_1,Mitooma,,1151.0,56,15.0,0.75,45.0,,,,,,,,,15.0,50.0
Kairabwa,Mitooma,,0.0,50,60.0,0.95,,,,,,,,,,0.0,0.0
Bukiriro_1,Mitooma,,1116.0,48,10.0,2.75,,,,,,,,,,65.0,80.0
Kairabwa,Mitooma,,1187.0,48,50.0,0.75,,,,,,,,,,55.0,
Ruzonga,Mitooma,,1116.0,43,60.0,1.25,85.0,,,,,,,,,,
Kakimba,Mitooma,,1233.0,36,30.0,0.35,,,,,,,,,,,100.0
Nyanga,Mitooma,,1158.0,34,40.0,0.25,,,,,,,,,,40.0,2.0
Orujeebe,Mitooma,,0.0,24,30.0,0.55,,,,,,,,,,,
Rutoobo,Mitooma,,1153.0,20,30.0,0.3,,,,,,,,,,,
Orujeebe,Mitooma,,0.0,51,60.0,0.8,,,,,,,,,,,
Rushoroza,Mitooma,,1212.0,29,40.0,0.25,95.0,,,,,,,,,,
Kyemengo,Mitooma,,1148.0,30,60.0,1.3,,,,,,,,,,,
Ruzonga,Mitooma,,1154.0,34,30.0,0.75,,,,,,,,,,,
Kisiizi_1,Mitooma,,0.0,26,60.0,1.25,55.0,,3.0,,,,,6.0,,,15.0
Kisiizi_1,Mitooma,,0.0,33,90.0,1.25,35.0,,1.5,,,,,,,,400.0
Kairabwa,Mitooma,,0.0,46,60.0,1.5,55.0,,,,,,,3.0,,0.0,
Rugando_Rwanja,Mitooma,,1623.0,42,30.0,0.85,,,,,,,,,,,
Bukiriro_2,Mitooma,,1142.0,60,20.0,0.75,35.0,,,,,,,,,,210.0
Ruzonga,Mitooma,,1127.0,37,60.0,0.75,,,,,,,,,,20.0,
Bukiriro_2,Mitooma,,1138.0,68,20.0,0.5,35.0,,,,,,,,,,100.0
Nyakashebeya,Mitooma,,1036.0,37,30.0,2.75,130.0,,,,,,,3.0,,,
Rwoburunga,Mitooma,,1209.0,23,40.0,0.25,,,,,,,,,,20.0,
Kyabukama,Mitooma,,1566.0,50,60.0,1.0,135.0,,6.0,,,,,7.0,65.0,,
Nyakagongo,Mitooma,,0.0,85,60.0,0.75,100.0,,4.0,,,,,7.0,,35.0,200.0
Kanganga,Mitooma,,0.0,80,30.0,1.25,70.0,,2.5,,,,,8.0,,,
Kafunjo,Mitooma,,0.0,57,50.0,0.25,,,,,,,,,,30.0,150.0
Nyarwanya_Rwanja,Mitooma,,1627.0,31,25.0,0.35,,,,,,,,,,,
Orujeebe,Mitooma,,1641.0,28,40.0,0.0,90.0,,,,,,,,,,0.0
Kamabare,Mitooma,,1121.0,32,60.0,0.75,80.0,,,,,,,4.0,,50.0,150.0
Nyanga,Mitooma,,2.0,40,60.0,0.5,,,,,,,,,,,
Kirama,Mitooma,,0.0,60,60.0,0.6,120.0,,,,,,,,,,
Rwongora,Mitooma,,1604.0,67,60.0,3.9,140.0,20.0,,,,,,,,15.0,50.0
Kashambya,Mitooma,,1143.0,75,30.0,1.9,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,27,30.0,0.0,45.0,,,,,,,,,,
Kirama,Mitooma,,0.0,70,40.0,4.75,75.0,,,,,110.0,,,,50.0,
Kyemengo,Mitooma,,1140.0,26,30.0,0.0,165.0,,,,,,,,,,
Kamabare,Mitooma,,1127.0,34,120.0,0.75,110.0,,,,,,,,,40.0,
Rwoburunga,Mitooma,,1158.0,22,20.0,0.75,,,,,,,,,,30.0,45.0
Rwakutaka,Mitooma,,1578.0,38,60.0,1.9,,,,,,,,,,50.0,
Rutoobo,Mitooma,,1157.0,55,30.0,3.0,60.0,,,,,,,,,,120.0
Bukiriro_1,Mitooma,,1128.0,32,30.0,1.25,,,,,,,,,,15.0,2.0
Nyanga,Mitooma,,2.0,34,20.0,0.75,47.0,,,,,,,,,0.0,0.0
Kirama,Mitooma,,0.0,35,60.0,0.83,100.0,,,,,,,5.0,,,
Nyanga,Mitooma,,1156.0,90,40.0,0.75,,,,,,,,,,25.0,2.0
Rwoburunga,Mitooma,,1157.0,80,20.0,9.75,95.0,,,,,,,,,45.0,
Bukiriro_1,Mitooma,,1130.0,25,30.0,0.25,,,,,,,,,,0.0,
Bukiriro_2,Mitooma,,1145.0,55,40.0,0.25,60.0,,,,,,,,,55.0,50.0
Nyabyondo_Rwoburunga,Mitooma,,1257.0,52,10.0,0.15,,,,,,,,,,40.0,15.0
Nyamisheshe,Mitooma,,1634.0,38,60.0,0.075,150.0,,,,,,,3.0,,3.0,40.0
Ndurumo_Rwoburunga,Mitooma,,1164.0,54,30.0,4.75,100.0,,,,,,,,,60.0,
Nyakashebeya,Mitooma,,1099.0,42,30.0,5.25,,,,,,,,,,,150.0
Nyabubaare,Mitooma,,1084.0,22,60.0,0.75,,,,,,,,,,,
Kashambya,Mitooma,,1145.0,46,120.0,0.8,,,,,,,,,,,
Rutoobo,Mitooma,,1130.0,41,120.0,1.75,130.0,,,,,,,,,,
Rwongora,Mitooma,,1569.0,50,120.0,0.8,60.0,,,,,,,,,50.0,50.0
Kakyeza,Mitooma,,1604.0,58,60.0,0.75,,,,,,,,,,70.0,2.0
Ndurumo_Rwoburunga,Mitooma,,1173.0,44,30.0,0.75,,,,,,,,,,75.0,80.0
Rugando_Rwanja,Mitooma,,1610.0,33,60.0,0.65,45.0,,,,,,,1.0,,30.0,
Ndurumo_Rwoburunga,Mitooma,,1170.0,27,15.0,0.25,,,,,,,,,,36.0,2.0
Ruzonga,Mitooma,,1123.0,42,2.0,0.8,70.0,,,,,,,,,30.0,
Rwoburunga,Mitooma,,1184.0,67,30.0,1.75,,,,,,,,,,30.0,
Nyaruzinga,Mitooma,,1693.0,52,30.0,0.75,35.0,,,,,,,,,50.0,40.0
Kakyeza,Mitooma,,1165.0,40,60.0,0.75,13.0,,2.0,,,,,1.0,17.0,0.0,
Muzinga,Mitooma,,1162.0,29,40.0,1.9,35.0,,,,,,,,,150.0,40.0
Kafunjo,Mitooma,,0.0,26,60.0,2.75,,,,,,,,,,,70.0
Rwongora,Mitooma,,1660.0,40,15.0,0.4,,,,,,,,,,100.0,
Kyemengo,Mitooma,,1152.0,47,90.0,1.75,,,,,,,,,,,
Kafunjo,Mitooma,,0.0,35,45.0,1.75,,,,,,,,,,,200.0
Rwoburunga,Mitooma,,1224.0,48,30.0,0.25,,,,,,,,,,35.0,1.0
Kairabwa,Mitooma,,1176.0,24,20.0,0.25,,,,,,,,,,50.0,1.0
Kakimba,Mitooma,,1096.0,76,60.0,0.875,,,,,,,,,,30.0,60.0
Kirama,Mitooma,,1146.0,25,30.0,0.97,,,,,,,,,,0.0,
Karokarungi,Mitooma,,0.0,31,60.0,0.85,,,,,,,,,,,
Kibishamwika,Mitooma,,1250.0,30,120.0,2.8,220.0,,2.0,,,,,2.5,,,
Nyakagongo,Mitooma,,1276.0,58,45.0,0.65,80.0,20.75,,,,,,3.0,,15.0,80.0
Kashambya,Mitooma,,1154.0,41,10.0,1.5,,,,,,,,,,,60.0
Nyabubaare,Mitooma,,0.0,23,60.0,1.8,,,,,,,,,,,
Kibishamwika,Mitooma,,1256.0,53,120.0,0.8,180.0,,2.0,,,,,2.5,,30.0,100.0
Ndurumo_Rwoburunga,Mitooma,,1170.0,42,15.0,0.25,,,,,,,,,,100.0,50.0
Kirama,Mitooma,,1104.0,36,15.0,0.0,62.0,,,,35.0,,,,,,120.0
Nyarwanya_Rwanja,Mitooma,,1642.0,43,30.0,9.75,60.0,,,,,,,,,,
Bukiriro_1,Mitooma,,1121.0,30,30.0,1.75,,,,,,,,,,60.0,2.0
Rwakutaka,Mitooma,,1562.0,34,15.0,0.9,,,,,,,,0.9,,,
Kanganga,Mitooma,,0.0,35,30.0,0.75,48.0,,2.5,,,,,4.0,,160.0,60.0
Nyamisheshe,Mitooma,,0.0,48,40.0,1.25,145.0,,4.0,,,,,10.0,,50.0,50.0
Rwongora,Mitooma,,1630.0,40,120.0,0.3,180.0,,,,,,,2.0,,55.0,50.0
Nyamisheshe,Mitooma,,0.0,64,60.0,0.25,,,,,,,,,,,
Kyeshabo,Mitooma,,0.0,39,15.0,1.85,40.0,,,,,85.0,,3.0,,48.0,
Nyabyondo_Rwoburunga,Mitooma,,1368.0,60,15.0,0.4375,,,,,,,,,,50.0,
