pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Bush-Bushura,KANUNGU,KIRI-BUSHURA,1425.5,49.2,39.0,0.925,27.0,,,,123.0,,,,,62.5,160.0,2020
Bush-Kajumo,KANUNGU,KIRI-BUSHURA,1496.111,43.667,145.0,0.878,27.75,,,,60.0,65.0,,6.333,,41.111,10.0,2020
Bush-Katwa,KANUNGU,KIRI-BUSHURA,1488.5,49.75,17.5,1.969,90.75,,,,77.5,,,5.375,,235.714,23.25,2020
Bush-Kazuru,KANUNGU,KIRI-BUSHURA,1478.167,46.75,22.5,1.352,63.667,,3.15,46.5,56.333,69.0,,4.717,,63.5,81.111,2020
Bush-Kikondeka,KANUNGU,KIRI-BUSHURA,1580.4,57.3,48.5,1.295,83.75,,11.0,,,,,,,177.0,50.0,2020
Bush-Kirima,KANUNGU,KIRI-BUSHURA,1498.667,53.667,28.889,0.456,81.375,,,,118.2,,,,,92.5,171.0,2020
Bush-Mugongo,KANUNGU,KIRI-BUSHURA,1513.625,54.75,56.25,0.375,54.0,,,,,,,,,,18.0,2020
Bush-Mutojo,KANUNGU,KIRI-BUSHURA,1495.625,41.75,39.375,1.031,42.714,,168.0,,70.0,,,6.0,,8.5,63.333,2020
Bush-Nyakabungo,KANUNGU,KIRI-BUSHURA,1690.111,52.0,48.889,1.038,121.429,,,50.0,190.0,,,6.2,,25.714,9.0,2020
Bush-Rwengwe,KANUNGU,KIRI-BUSHURA,1506.667,42.444,31.667,0.53,45.333,,,,10.0,,,2.5,,100.0,87.333,2020
Businda,KYENJOJO,KITEGA,1240.0,41.923,39.692,0.754,327.857,2.2,8.0,,1250.0,,,,,15.0,200.0,2020
Busingye,KYENJOJO,BYERWA,1220.583,34.917,285.0,1.312,197.375,5.5,,,736.2,,,,,185.429,3.0,2020
Buyaayo A,MITOOMA,MAYANGA,1339.25,52.25,71.667,1.284,58.0,,1.0,,,,,,,,,2020
Buyayo B,MITOOMA,MAYANGA,0.0,46.0,70.833,0.648,136.0,,,,,,,,,202.667,250.0,2020
Buyayo C,MITOOMA,MAYANGA,1556.083,43.75,68.333,1.75,88.143,,5.0,,17.333,,,9.6,,155.0,432.857,2020
Bwema A,KAGADI,KISUNGU,1268.182,53.364,48.636,1.432,387.5,,,,900.0,,,,,383.333,,2020
Bwema B,KAGADI,KISUNGU,1244.75,45.333,53.333,0.444,340.0,,,,,,,,,,,2020
Bwera,MITOOMA,KASHONGORERO,1025.417,34.25,23.167,1.378,53.0,,1.667,,,,,2.5,100.0,0.0,,2020
Bwera A,MITOOMA,BWERA,735.667,43.417,35.0,0.896,152.857,,,,40.0,,,,52.0,105.571,144.0,2020
Bwera B,MITOOMA,BWERA,1510.917,42.75,39.583,1.229,70.125,,,,,,,,,56.0,25.5,2020
Bwera C,MITOOMA,BWERA,1444.0,45.75,61.667,1.283,115.0,,,40.0,,,,1.5,,104.167,152.909,2020
Bwikara Central,KAGADI,KISUURA,1275.417,56.417,62.5,1.868,186.667,,,,1300.0,,,,,20.0,,2020
Byerwa,KYENJOJO,BYERWA,1247.583,34.75,47.917,0.642,104.625,9.0,,,479.0,,,,,45.0,,2020
Ekyigaiga,KYENJOJO,KYAMUGARRA,1290.833,47.667,51.667,0.825,248.571,7.667,,,335.0,,,,,65.143,126.667,2020
Gashoro,KISORO,CHAHAFI,1948.917,55.667,29.167,0.967,205.455,19.2,3.0,,350.0,,,6.856,,4.571,,2020
Gicuzi,KISORO,CHAHAFI,2021.417,38.667,73.75,0.392,81.818,,,,,,,8.04,,2.6,0.0,2020
