pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Nyabirungi,KYENJOJO,MUBEMBE,1194.167,36.167,56.667,1.017,186.909,4.2,4.6,,1228.0,,,8.0,,37.5,213.333,2020
Nyabubaare,MITOOMA,KAGATI,459.167,34.583,78.333,0.579,26.833,,10.0,,,,,,20.0,240.0,65.0,2020
Nyaburungi,KAGADI,KABUGA,1230.917,46.583,59.167,0.971,63.75,,,,650.0,,,,,11.667,0.0,2020
Nyaburungi,KYENJOJO,BYERWA,1230.923,43.0,62.308,1.481,207.5,12.7,3.4,,493.636,,,6.5,,58.333,36.667,2020
Nyabusozi,KYENJOJO,NYAMICU,1255.0,39.417,51.25,1.967,220.0,2.267,1.7,,863.333,,,,,232.222,105.0,2020
Nyabutembe,MITOOMA,RUREHE SOUTH,1666.083,57.083,25.667,1.812,85.375,,,,,,,,,70.417,58.5,2020
Nyabyondo,MITOOMA,RWOBURUNGA,1326.75,45.5,20.833,1.379,84.5,,,,13.0,,,8.0,15.0,80.0,61.5,2020
Nyakabale A,KAGADI,NYAMASA,1292.25,50.75,31.417,0.629,287.167,,8.0,,400.0,,,,,58.0,0.0,2020
Nyakabale B,KAGADI,NYAMASA,1295.333,41.5,86.667,1.219,90.0,,,,80.0,,,,2.5,49.9,225.0,2020
Nyakabungo,KYENJOJO,KYAMUGARRA,1245.056,49.0,28.333,0.181,87.556,9.0,,,170.0,,,,,16.25,10.0,2020
Nyakagongo,MITOOMA,RWOBURUNGA,639.833,46.25,53.333,1.183,93.9,20.75,4.75,,,,,5.045,65.0,58.333,223.333,2020
Nyakagyera,MITOOMA,IRARAMIRA,612.417,44.0,57.333,1.401,45.0,,,,,,,2.0,,,,2020
Nyakanengo,MITOOMA,RUREHE SOUTH,842.917,49.833,51.25,0.75,110.3,,,,36.667,,,5.1,,70.909,78.571,2020
Nyakarongo Central,KAGADI,NYAKARONGO,1247.667,46.75,30.833,0.771,337.5,,,,650.0,,,,,,,2020
Nyakarongo Hemu,KAGADI,NYAKARONGO,605.417,40.083,52.5,1.415,,,,,,,,,,50.0,100.0,2020
Nyakarungi,KYENJOJO,BIGANDU,1254.385,42.833,36.667,1.308,127.312,8.667,11.333,,933.333,,,5.0,207.5,29.0,51.5,2020
Nyakashebeya,MITOOMA,KAGATI,1078.667,44.333,22.417,2.035,65.0,,,,,,,,,52.0,200.0,2020
Nyakatooma A,MITOOMA,MAYANGA,1011.167,48.333,47.5,1.042,62.778,,,,,,,2.75,,42.857,1.667,2020
Nyakatooma B,MITOOMA,MAYANGA,843.923,61.462,48.462,1.252,127.778,,,,,80.0,,2.0,,224.167,297.0,2020
Nyakinengo,MITOOMA,RWANJA WEST,1687.5,46.25,35.0,1.25,227.5,,,,,115.0,,,,36.0,45.0,2020
Nyamacumu A,KAGADI,NYAMACUMU,1255.083,49.333,49.583,0.653,256.625,,,,,,,,,45.5,200.0,2020
Nyamacumu B,KAGADI,NYAMACUMU,1249.833,43.833,48.75,5.848,320.0,16.0,,,300.0,,,,,68.333,1.5,2020
Nyamalembo A,KAGADI,NGOMA,1246.667,51.5,71.667,1.344,157.727,,,,657.5,,,,85.0,95.333,80.0,2020
Nyamalembo B,KAGADI,NGOMA,619.083,43.917,54.167,1.218,217.5,,10.0,,850.0,,,,,800.0,287.5,2020
Nyamalembo C,KAGADI,NGOMA,1254.833,46.833,58.167,0.908,163.333,,,,223.333,,,,,23.6,100.0,2020
Nyamasa,KAGADI,NYAMASA,1296.5,48.75,26.333,0.692,168.333,,,,,,,,,45.0,,2020
Nyamicu,KYENJOJO,NYAMICU,1302.583,44.917,42.75,1.271,169.286,9.125,,,1141.667,,,,,123.333,,2020
Nyamigisa,KYENJOJO,BATALIKA,1140.167,42.75,36.0,4.55,416.818,4.969,16.3,,1314.0,,,11.5,80.0,187.091,503.0,2020
Nyamigisa A,KAGADI,NYAMACUMU,1253.25,54.583,27.5,2.938,90.0,,,,438.333,,,,,180.0,533.333,2020
Nyamigisa B,KAGADI,NYAMACUMU,1040.0,47.5,47.917,1.616,130.0,,,,,,,,,20.0,166.667,2020
Nyamihindi,KYENJOJO,MUBEMBE,537.818,45.818,45.0,1.749,176.111,7.0,15.0,,1851.25,,,,,98.571,196.667,2020
Nyamirembe,KAGADI,KATELEMWA,1272.818,45.0,86.364,1.682,442.5,,,,,,,,,,,2020
Nyamisheshe,MITOOMA,RWANJA EAST,801.5,46.0,44.583,0.935,130.556,,3.0,,40.0,,,6.35,,153.0,204.0,2020
Nyandago A,MITOOMA,BWERA,1524.667,51.583,55.833,0.583,38.5,,,,,,,5.0,,65.0,100.0,2020
Nyandago B,MITOOMA,BWERA,1318.5,45.25,50.083,1.707,48.0,,1.5,,,,,1.5,,,,2020
Nyandago C,MITOOMA,BWERA,791.0,49.833,37.917,1.104,68.833,,4.0,,,,,3.6,,25.455,37.429,2020
Nyandongo,KYENJOJO,KITEGA,771.583,40.667,85.0,1.074,238.3,3.0,12.0,,984.0,,,,,745.0,150.0,2020
Nyanga,MITOOMA,KIYANGA,581.25,50.167,39.167,0.633,47.9,,1.25,,,60.0,,3.0,69.0,22.5,1.875,2020
Nyankubebe A,KAGADI,NYAMASA,1290.667,36.167,40.0,0.606,46.0,,,,,,,,,2.5,6.0,2020
Nyar-Butare,RUKUNGIRI,NYAK-NYARUGANDO,0.0,45.25,70.417,0.604,116.25,,,55.0,96.667,,,3.25,,42.333,132.0,2020
Nyar-Keina,RUKUNGIRI,NYAK-NYARUGANDO,1579.333,39.667,23.333,0.656,91.333,,,,,,,,,54.667,74.0,2020
Nyar-Kiina,RUKUNGIRI,NYAK-NYARUGANDO,1369.0,42.727,33.727,0.794,43.0,,,,,35.0,,,,,,2020
Nyar-Marashaniro,RUKUNGIRI,NYAK-NYARUGANDO,1612.25,38.833,51.25,2.383,136.25,,2.0,,55.0,,,3.5,,240.545,119.5,2020
Nyar-Nyamitanga,Rukungiri,NYAK-NYARUGANDO,774.0,43.75,35.0,3.746,346.0,11.0,4.0,,82.0,110.0,,11.4,123.333,249.167,137.5,2020
Nyar-Nyarubare,RUKUNGIRI,NYAK-NYARUGANDO,0.0,51.667,25.417,1.396,156.667,,,,107.5,,,,60.0,48.571,132.5,2020
Nyar-Nyarutuntu,RUKUNGIRI,NYAK-NYARUGANDO,727.167,44.417,61.25,0.359,34.8,,,,33.0,,,5.0,,,,2020
Nyar-Rwengoha,RUKUNGIRI,NYAK-NYARUGANDO,1561.417,35.417,32.083,0.896,116.25,,,,475.0,,,,,54.083,0.0,2020
Nyaruhita,MITOOMA,RUREHE SOUTH,1662.333,58.583,55.25,0.935,72.25,,,,,,,,,82.0,73.333,2020
Nyarushinya,MITOOMA,KASHASHA,571.167,46.833,62.5,0.979,81.667,,,,,,,2.0,,42.5,147.143,2020
Nyaruzinga,MITOOMA,RWANJA EAST,1683.333,55.75,39.583,2.729,77.143,,,,,,,4.0,,70.667,670.0,2020
Nyaruzinga A,MITOOMA,MAYANGA,898.417,38.25,50.417,0.742,50.333,,,,,,,1.667,20.0,0.0,0.0,2020
Nyaruzinga B,MITOOMA,MAYANGA,1525.333,53.917,45.833,2.877,76.556,,,,,,,,,79.182,432.889,2020
Nyaruzinga C,MITOOMA,MAYANGA,1495.333,53.417,37.083,3.062,335.0,,,,,,,,,67.917,129.4,2020
Nyarwanya,MITOOMA,RWANJA EAST,1629.917,48.833,32.333,1.686,124.0,,,,,,,,,62.143,57.667,2020
Nyarwanya A,MITOOMA,KATAGATA,1585.0,53.769,66.154,1.01,32.0,,,,,,,,,305.0,346.667,2020
Nyarwanya B,MITOOMA,KATAGATA,1561.75,55.333,58.333,1.458,94.286,,,,,,,2.0,,121.583,200.417,2020
Nyungu,KYENJOJO,BATALIKA,808.417,43.917,65.0,1.22,306.286,240.0,3.0,,1710.75,,,,,69.286,0.0,2020
Omububare,MITOOMA,RUREHE SOUTH,1402.167,47.667,27.917,0.958,61.875,,3.0,,,,,1.4,,40.0,1.333,2020
Omumwino,MITOOMA,RUREHE SOUTH,1710.417,52.5,46.667,1.308,62.0,,,,,,,,,93.0,52.5,2020
Orujeebe,MITOOMA,RWANJA EAST,818.667,50.167,45.0,0.845,42.0,,,,,,,,,0.0,0.0,2020
Rubanga,MITOOMA,RUREHE SOUTH,1649.0,60.5,41.25,1.472,50.0,,,,,,,,,,100.0,2020
Rubaya,MITOOMA,RWOBURUNGA,555.75,37.333,38.333,0.833,50.625,,3.5,,,,,2.0,60.25,0.0,4.167,2020
Rubi-Bukono,KANUNGU,KIRI-RUBIMBWA,1420.5,46.3,25.2,1.125,67.857,4.5,4.6,,40.2,,,6.5,72.0,89.75,72.143,2020
Rubi-Kajubwe,KANUNGU,KIRI-RUBIMBWA,1471.0,50.667,83.333,1.361,24.333,,301.0,,,,,,,48.0,22.333,2020
Rubi-Kashaki,KANUNGU,KIRI-RUBIMBWA,1367.727,57.455,110.909,1.245,64.0,,9.667,,,,,13.0,16.0,33.889,677.75,2020
Rubi-Kasoni,KANUNGU,KIRI-RUBIMBWA,1419.25,54.125,58.125,0.734,41.8,,3.0,,55.5,,,13.5,,70.0,12.2,2020
Rubi-Kitunga,KANUNGU,KIRI-RUBIMBWA,1428.091,47.455,125.455,3.714,131.667,,10.0,,120.0,,,14.0,,161.778,151.25,2020
Rubi-Nyakabungo,KANUNGU,KIRI-RUBIMBWA,1384.364,43.727,25.455,1.377,61.857,,,,,,,,60.0,408.0,150.0,2020
Rubi-Nyarwemarira,KANUNGU,KIRI-RUBIMBWA,1422.1,46.4,45.5,1.515,98.25,,8.0,,249.0,,,8.5,,115.143,57.75,2020
Rubi-Ruheza,KANUNGU,KIRI-RUBIMBWA,1342.25,48.75,69.583,0.562,47.0,,3.5,,,,,,,47.833,76.667,2020
Rubirizi,MITOOMA,RUREHE SOUTH,0.0,49.667,59.167,1.247,62.0,,,,100.0,72.5,,,,280.0,,2020
Rucence A,MITOOMA,RUCENCE,750.917,41.583,32.917,0.729,51.2,,2.625,,36.5,,,2.333,,36.875,1.667,2020
Rucence B,MITOOMA,RUCENCE,756.833,46.917,41.75,1.357,57.312,95.0,,,,,,,,148.0,200.0,2020
Rucururu,MITOOMA,RWAMUJURA,770.0,59.167,54.167,0.979,117.167,,,,,,,3.333,,96.364,94.727,2020
Rugana,KAGADI,NGOMA,1299.667,41.5,23.75,2.288,88.75,,,,,,,,,28.333,80.0,2020
Rugando,MITOOMA,RWAMUJURA,1449.556,49.333,48.889,0.689,75.0,,,,,,,2.75,27.5,31.429,2.4,2020
Rugando,MITOOMA,RWANJA EAST,1483.3,48.9,50.0,0.952,57.714,,,,15.0,,,3.36,,73.333,76.2,2020
Rugarama,MITOOMA,KASHONGORERO,1073.0,46.417,60.0,0.708,54.273,27.0,1.0,,,,,4.5,55.0,58.182,25.333,2020
Rugarama,MITOOMA,RUREHE SOUTH,1450.5,50.667,58.333,1.079,47.25,,3.0,,15.0,,,12.25,58.0,203.4,37.5,2020
Rugorogoro,MITOOMA,RWANJA WEST,1273.231,54.583,42.083,1.906,63.0,,5.0,,35.0,,,9.6,,93.167,271.111,2020
Rukiri,KAGADI,KATIKENGEYE,1207.667,44.0,43.583,0.618,278.75,,,,638.571,,,,,267.5,75.0,2020
Rukukuru,KYENJOJO,RUKUKURU,1245.917,36.833,72.5,1.129,96.182,,8.5,,237.545,,,12.333,,45.833,36.667,2020
Runyinya B,MITOOMA,MAYANGA,1556.917,55.167,75.667,1.523,95.0,,,,,,,,,35.0,,2020
Runyiya A,MITOOMA,MAYANGA,645.583,49.5,43.75,1.681,145.0,,2.7,,120.0,,,4.938,,157.667,208.75,2020
Rurama,MITOOMA,KASHASHA,1174.167,40.583,41.333,2.771,43.5,,,,,,,,,79.167,228.857,2020
Rusenyi,KAGADI,KATELEMWA,1272.583,46.167,96.667,0.94,210.0,,2.5,170.0,328.75,,,,,25.0,0.0,2020
Rusheregyeyi A,MITOOMA,MAYANGA,1535.667,52.667,95.0,1.325,119.6,,2.0,,,,,7.0,300.0,167.833,412.25,2020
Rusheregyeyi B,MITOOMA,MAYANGA,1547.583,44.833,73.75,1.792,129.286,,3.0,,,,,2.0,300.0,154.25,315.0,2020
Rushoroza,MITOOMA,RWOBURUNGA,1171.417,51.333,34.442,1.243,69.0,,,,,,,,,,1866.667,2020
Rute-Buranda,KANUNGU,KAYO-RUTENDERE,1276.0,44.538,46.923,1.75,66.375,,,,50.0,,,2.5,,57.667,122.6,2020
Rute-Kangyeyo,KANUNGU,KAYO-RUTENDERE,1341.583,49.917,44.167,2.958,17.0,,62.667,70.0,,,,,14.5,10.0,,2020
Rute-Kataburaza,KANUNGU,KAYO-RUTENDERE,1348.75,47.75,20.25,2.1,70.889,,6.2,,158.571,90.0,,5.333,80.0,29.571,107.2,2020
Rute-Kyandago,KANUNGU,KAYO-RUTENDERE,1387.333,47.167,29.667,1.112,25.0,,6.0,,,60.0,,12.0,90.0,28.5,,2020
Rute-Rutendere,KANUNGU,KAYO-RUTENDERE,1315.154,53.154,56.154,0.568,,,,,,,,,110.0,15.0,50.0,2020
Rute-Rwabutera,KANUNGU,KAYO-RUTENDERE,1301.333,48.167,41.25,1.724,40.375,,24.0,,55.0,421.0,,10.0,70.0,0.0,0.0,2020
Rutoobo,MITOOMA,KIYANGA,1141.833,45.333,62.833,1.065,88.333,,,,,,,,,,54.333,2020
Rutooma,MITOOMA,RWAMUJURA,1183.154,49.667,26.667,1.465,120.4,,4.0,,37.0,,,13.2,95.0,197.0,171.25,2020
Rutooma A,MITOOMA,RUTOOMA,1360.5,50.833,42.5,1.478,47.571,,2.333,,,,,2.167,,,0.0,2020
Rutooma B,MITOOMA,RUTOOMA,1581.917,56.833,28.5,1.825,137.667,,,,,,,,,84.091,67.429,2020
Rutooma C,MITOOMA,RUTOOMA,1430.5,49.333,35.417,1.104,54.444,,,,,,,1.75,,38.75,40.4,2020
Rutu-Buhamba,KANUNGU,KIRI-RUTUGUNDA,1438.333,55.167,28.333,1.651,118.75,,,,195.375,,,,,172.5,140.0,2020
Rutu-Kanyankyende,KANUNGU,KIRI-RUTUGUNDA,1464.417,40.5,40.417,0.56,53.667,,0.0,,37.5,,,,,3.6,0.0,2020
Rutu-Katungu,KANUNGU,KIRI-RUTUGUNDA,1508.5,47.083,44.583,1.296,83.5,,,,100.0,,,3.0,,99.545,72.857,2020
Rutu-Kitongo,KANUNGU,KIRI-RUTUGUNDA,1462.167,55.333,63.75,1.854,224.286,,,,249.0,15.0,,10.375,,272.6,122.0,2020
Rutu-Kyeijanga,KANUNGU,KIRI-RUTUGUNDA,1502.75,45.5,33.5,1.338,80.0,,,,50.0,,,,,77.333,167.667,2020
Rutu-Mabaare,KANUNGU,KIRI-RUTUGUNDA,1442.917,50.75,26.667,1.457,119.111,,6.375,,128.571,360.0,,4.625,,207.091,110.625,2020
Rutu-Nkamba,KANUNGU,KIRI-RUTUGUNDA,1429.5,49.3,36.2,1.485,71.9,,4.75,,41.0,,,4.667,,144.4,154.0,2020
Rutu-Rutooma,KANUNGU,KIRI-RUTUGUNDA,1469.385,45.385,51.154,0.962,119.0,,5.0,,,,,6.0,,153.75,45.0,2020
Rutu-Rutooro,KANUNGU,KIRI-RUTUGUNDA,1486.083,47.833,35.667,0.98,48.167,,2.0,,60.0,,,4.0,,179.333,74.4,2020
Ruzonga,MITOOMA,RWOBURUNGA,1127.5,46.5,50.167,0.815,85.0,,,,,,,,,20.0,70.0,2020
Rwakituurwa,MITOOMA,RWANJA WEST,0.0,48.5,37.5,2.273,112.9,,10.667,,62.2,,,10.1,,210.5,141.111,2020
Rwakutaka,MITOOMA,RWANJA EAST,1580.182,43.9,34.0,1.4,86.25,,5.0,,15.333,,,7.975,,101.0,165.0,2020
Rwamujura,MITOOMA,RWAMUJURA,792.667,50.167,59.583,1.231,87.9,,4.5,,18.0,,,6.778,60.0,153.75,317.5,2020
Rwamuniori A,MITOOMA,KATI,599.833,51.083,41.667,2.06,94.3,,3.25,,81.0,,,5.9,23.0,168.917,222.143,2020
Rwamuniori B,MITOOMA,KATI,1544.5,45.917,27.333,1.015,44.0,,0.0,,,,,1.6,45.0,10.0,,2020
Rwamureera,MITOOMA,IRARAMIRA,1270.167,59.0,37.667,1.542,84.75,,,,,,,,,48.25,67.571,2020
Rwamusharira,MITOOMA,RWANJA WEST,582.5,49.833,39.833,0.902,97.25,,,,,,,,,164.0,,2020
Rwan-Bubare,Rukungiri,NYAK-RWANYUNDO,988.2,37.7,55.0,0.774,36.75,,16.0,,,,,2.0,,20.0,130.0,2020
Rwan-Bugamba,Rukungiri,NYAK-RWANYUNDO,290.167,46.667,30.0,1.075,118.75,,,,80.0,,,8.0,,92.6,180.0,2020
Rwan-Bugoro,Rukungiri,NYAK-RWANYUNDO,911.75,47.667,31.167,1.087,65.0,,,,21.667,,,,,20.0,0.0,2020
Rwan-Kagaga,Rukungiri,NYAK-RWANYUNDO,1161.5,49.222,30.0,1.238,133.75,,,180.0,,,,9.5,,151.875,250.0,2020
Rwan-Karubanda,Rukungiri,NYAK-RWANYUNDO,1737.667,48.167,45.0,0.902,35.167,,,,42.0,,,,,,,2020
Rwan-Kyondo,Rukungiri,NYAK-RWANYUNDO,0.0,52.917,44.167,1.235,123.083,,5.0,,70.667,,,8.444,,190.833,86.0,2020
Rwan-Murambi,Rukungiri,NYAK-RWANYUNDO,691.833,52.75,36.667,0.833,68.333,,,,,,,1.875,,69.091,92.0,2020
Rwan-Nyakatookye,Rukungiri,NYAK-RWANYUNDO,1804.667,50.667,71.917,1.531,76.875,,,,30.0,,,3.0,,205.125,85.0,2020
Rwan-Nyamabare,Rukungiri,NYAK-RWANYUNDO,1788.833,48.417,31.667,1.167,178.571,,,,200.0,,,,,38.0,,2020
Rwan-Omukajagiro,Rukungiri,NYAK-RWANYUNDO,1764.917,46.167,37.917,0.791,131.2,,,,75.0,,15.0,,,73.667,80.0,2020
Rwan-Rugasha,Rukungiri,NYAK-RWANYUNDO,1713.25,42.417,45.0,0.684,38.667,,,,,,,0.625,,42.5,0.0,2020
Rwan-Rutooma,Rukungiri,NYAK-RWANYUNDO,1370.417,65.083,65.0,1.812,36.0,,,,,75.0,,,,,,2020
Rwan-Rwonyo,Rukungiri,NYAK-RWANYUNDO,1693.667,45.75,25.583,1.25,172.5,,,,,175.0,,,,43.636,,2020
Rwan-Shogashoga,Rukungiri,NYAK-RWANYUNDO,141.083,49.25,26.417,1.146,63.8,,,,,,,3.5,,80.0,25.0,2020
Rwanja,MITOOMA,RWANJA WEST,1630.167,49.167,39.167,0.813,42.5,,,,,,,2.0,,25.0,,2020
Rwanyabuzana,MITOOMA,RUREHE SOUTH,1521.0,52.0,19.5,1.662,,,,,,,,,,200.0,4.0,2020
Rwebitunda A,MITOOMA,RUCENCE,1521.0,48.667,32.583,0.629,55.0,,,,,,,3.5,,76.25,300.0,2020
Rwebitunda B,MITOOMA,RUCENCE,738.667,44.5,48.333,1.125,77.833,,2.25,,72.5,,,11.667,,16.667,26.6,2020
Rwebitunda C,MITOOMA,RUCENCE,727.083,47.167,21.833,1.128,51.25,,1.233,,,,,,,0.0,0.0,2020
Rweibare A,MITOOMA,RUCENCE,1509.667,39.167,31.0,1.25,110.0,35.0,,,,,,,,98.182,39.667,2020
Rweibare B,MITOOMA,RUCENCE,831.583,42.667,57.5,1.921,85.7,2.5,3.1,,70.0,,,5.15,,90.583,305.455,2020
Rwekomire,KYENJOJO,RUKUKURU,1255.583,47.333,59.583,2.392,884.0,25.333,,,2436.333,,,,,13.75,,2020
Rwemanzi,KYENJOJO,KYAMUGARRA,1281.0,46.25,51.667,1.729,276.0,11.4,3.5,,549.75,,,5.0,,44.0,188.333,2020
Rwemirama,MITOOMA,RWANJA EAST,0.0,38.667,55.833,0.575,106.25,,,,,80.0,,,,255.2,,2020
Rwempungu A,MITOOMA,RUCENCE,1491.0,50.5,36.25,1.225,60.0,,,,,,,4.0,,47.556,408.75,2020
Rwempungu B,MITOOMA,RUCENCE,734.333,42.25,33.75,0.917,67.727,,1.25,,,55.0,,3.333,110.0,27.0,14.8,2020
Rwengyerero A,MITOOMA,RYENGYERERO,1376.0,54.75,29.583,2.135,103.75,,,,55.0,130.0,,17.8,,154.833,328.571,2020
Rwengyerero B,MITOOMA,RYENGYERERO,1619.583,50.917,27.25,0.896,69.4,,,,,78.0,,,,42.917,50.333,2020
Rwengyerero C,MITOOMA,RYENGYERERO,0.0,44.0,57.5,2.396,111.833,,,,,,,4.0,,112.8,155.0,2020
Rwenkuba,MITOOMA,RUREHE SOUTH,794.5,49.5,44.583,1.608,100.375,,5.3,,45.444,,,9.364,,262.727,146.0,2020
Rwenkuriju A,MITOOMA,KASHONGORERO,1438.083,48.833,52.917,0.812,117.5,,,,36.0,,,,,,23.5,2020
Rwenkuriju B,MITOOMA,KASHONGORERO,655.5,40.917,80.833,1.629,152.917,2.25,3.917,,73.75,,,4.909,42.5,130.375,319.5,2020
Rwenshama A,MITOOMA,BWERA,1478.917,47.667,50.417,0.872,59.8,,,,,,,4.0,,52.1,15.0,2020
Rwenshama B,MITOOMA,BWERA,1473.333,48.667,58.333,1.983,120.0,,2.0,,,,,3.0,,129.167,156.667,2020
Rwentojo A,MITOOMA,KATI,1477.0,52.75,23.333,1.776,143.0,,,,23.0,,,11.667,200.0,99.5,166.25,2020
Rwentojo B,MITOOMA,KATI,1465.75,49.0,40.833,1.992,87.5,,3.5,,,,,2.5,,150.417,150.0,2020
Rwentojo C,MITOOMA,KATI,1480.583,48.833,19.5,1.592,60.571,,,,,,,4.0,,156.7,58.0,2020
Rwoburunga,MITOOMA,KAGATI,1204.667,44.583,40.0,1.688,82.5,,,,,,,,,60.0,26.4,2020
Rwongora,MITOOMA,RWANJA EAST,1597.667,51.083,82.083,1.433,162.5,,2.0,,,300.0,,2.125,220.0,120.833,350.0,2020
Sayuni,KYENJOJO,MUBEMBE,1203.083,46.167,38.333,2.528,237.5,8.0,,,860.857,,,,,128.0,196.0,2020
Sherere,MITOOMA,KAGATI,605.833,42.083,37.083,1.963,34.667,,0.9,,,,,1.25,,0.0,0.0,2020
Bugarura,Kanungu,,1471.417,47.167,46.083,1.3,280.714,,11.0,,1300.0,,,3.0,,48.5,45.0,2021
Buhumuriro,Rukungiri,,0.0,50.75,48.75,1.15,145.0,,,250.0,30.0,,,7.0,,148.667,,2021
Bujerengye,Kanungu,,1461.0,49.625,33.875,1.209,80.0,,,,23.0,,,,,33.6,47.2,2021
Bukiriro_1,Mitooma,,1130.333,42.917,37.5,1.583,132.5,,3.0,,,,,5.5,68.0,37.364,27.0,2021
Bukiriro_2,Mitooma,,1140.25,47.167,29.583,0.985,56.333,20.0,,,,,,4.0,,37.5,106.889,2021
Burambo,Rubanda,,2020.109,50.091,71.909,0.76,139.333,5.0,,,,,,5.2,,5.0,,2021
Buranda,Kanungu,,1276.0,44.538,46.923,1.75,415.625,,10.5,,1300.0,60.0,,7.5,,87.5,97.5,2021
Burera,Rukungiri,,822.333,44.833,32.083,1.171,98.75,,,,32.0,,,8.95,,149.0,100.0,2021
Bushure,Rubanda,,1998.0,54.333,71.667,0.583,109.333,7.25,,152.5,,,,27.714,,,,2021
Butoboore,Rubanda,,2069.973,36.909,71.364,1.577,184.1,,,140.0,,,,6.833,,7.0,,2021
Butusi,Rubanda,,1540.767,59.667,59.444,1.706,102.0,11.0,,,,,,3.75,,40.0,,2021
Byumba,Kanungu,,1478.5,47.0,35.0,1.183,488.0,,10.0,,1300.0,60.0,,7.5,,104.0,37.5,2021
Ibarya,Kanungu,,1325.583,48.167,52.5,0.892,333.75,,11.0,,1300.0,,,10.0,,41.0,51.833,2021
Iterero,Rukungiri,,1286.7,47.25,26.667,0.875,142.143,4.5,,,200.0,,,4.333,130.0,45.556,25.0,2021
Kababagi,Rukungiri,,883.608,49.0,35.0,0.646,123.5,,,,90.0,,,,,61.364,50.0,2021
Kabaranga,Rukungiri,,0.0,47.909,91.091,1.05,110.182,,4.25,,78.571,,,6.85,,160.0,231.667,2021
Kabingo,Rukungiri,,1245.973,51.455,53.636,0.659,141.444,,2.5,,106.0,,,18.167,,75.0,80.0,2021
Kabirizi,Kanungu,,1475.0,54.917,80.0,1.681,345.0,,2.0,,1300.0,,,3.0,,73.667,150.0,2021
Kacence,Rukungiri,,878.312,50.875,44.167,1.302,145.15,6.0,7.5,70.0,58.2,,135.0,10.333,,140.522,178.7,2021
Kacerere,Kanungu,,1502.0,50.083,56.667,1.175,426.222,,,,1300.0,,,17.0,,44.333,15.0,2021
Kafunjo,Mitooma,,0.0,40.7,48.5,1.406,66.4,20.75,,,,,,3.0,,30.0,113.333,2021
Kagaana,Rubanda,,1986.85,39.083,58.75,1.39,152.25,4.0,,150.0,,,,3.667,,4.0,,2021
Kagati_Kiyanga,Mitooma,,0.0,37.417,53.75,1.646,88.5,,,120.0,,70.0,,,,22.5,72.0,2021
Kagorogoro,Rukungiri,,0.0,35.1,20.7,1.403,101.25,,,90.0,,,,,,93.625,35.0,2021
Kagyeyo,Rukungiri,,0.0,48.833,38.333,1.037,120.0,,2.5,,40.0,,,13.0,,129.0,25.0,2021
Kahama,Rukungiri,,1865.51,42.7,16.9,1.61,136.2,,,,,,,,,61.5,2.0,2021
Kahara,Rukungiri,,1879.136,56.0,47.091,2.13,127.0,,,,,,,2.0,,69.889,160.0,2021
Kairabwa,Mitooma,,590.917,46.917,47.083,0.975,72.143,,2.0,,,,,2.333,,36.333,9.8,2021
Kakarisa,Rubanda,,1905.55,53.833,88.333,1.346,153.111,9.2,,,,,,7.857,,23.333,,2021
Kakimba,Mitooma,,1157.909,51.091,34.091,1.074,51.333,,,,,,,7.0,,53.333,162.444,2021
Kakyeza,Mitooma,,1438.364,50.909,53.636,0.568,56.857,20.0,2.0,,75.0,64.0,,3.375,17.0,29.5,9.0,2021
Kamabare,Mitooma,,562.083,34.917,77.5,0.502,76.25,,,,,50.0,,3.25,,37.143,81.111,2021
Kamuhozi,Rukungiri,,1138.99,54.7,42.5,1.54,111.667,,0.5,150.0,135.0,,,10.0,,103.6,60.0,2021
Kanganga,Mitooma,,922.0,66.333,36.111,2.231,85.75,,2.5,,,,,6.833,,58.333,47.0,2021
Kangyeyo,Kanungu,,1341.583,49.917,44.167,2.958,375.0,,,,1300.0,,,,,66.0,87.5,2021
Kanoni,Kanungu,,1354.417,48.25,77.5,5.498,446.5,,11.0,,1300.0,,,,,20.0,12.5,2021
Kanyabutaye,Rukungiri,,842.775,42.583,57.5,1.315,171.286,,,,76.667,,,19.333,,40.0,5.0,2021
Kanyankwanzi,Rubanda,,2050.4,40.833,92.083,1.219,188.6,9.1,,175.0,,,,7.375,,21.0,,2021
Karokarungi,Mitooma,,570.167,42.0,43.333,1.602,80.0,,0.0,,,,,,40.0,0.0,,2021
Karondo,Rubanda,,2004.936,40.636,52.818,0.709,98.0,,,,,,,5.0,,23.333,,2021
Karukare,Mitooma,,916.273,47.455,45.455,1.295,150.0,,,,,,,3.0,,74.444,155.0,2021
Karukonjo,Rukungiri,,1526.517,51.417,48.333,1.346,135.0,,3.75,,60.0,,,15.0,,114.714,30.0,2021
Kashambya,Mitooma,,1147.333,51.083,75.833,1.367,102.143,,20.0,,,,,2.0,,70.0,236.667,2021
Kashambya_Mugyera,Rubanda,,2032.95,48.875,50.0,2.55,196.667,13.0,,,,,,7.4,,10.0,,2021
