pre_village,pre_district,GPS-Altitude,hhh_age,Land_size_agriculture,Time_to_collect_Water_for_Household_use_Minutes,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield,cohort
Karukare,Mitooma,916.2727272727273,47.45454545454545,1.2954545454545454,45.45454545454545,150.0,,,,,,,3.0,,74.44444444444444,155.0,2021
Karukonjo,Rukungiri,1526.5166666666667,51.416666666666664,1.3458333333333332,48.333333333333336,135.0,,3.75,,60.0,,,15.0,,114.71428571428571,30.0,2021
Kashambya,Mitooma,1147.3333333333333,51.083333333333336,1.3666666666666665,75.83333333333333,102.14285714285714,,20.0,,,,,2.0,,70.0,236.66666666666666,2021
Kashambya_Mugyera,Rubanda,2032.9499999999998,48.875,2.55,50.0,196.66666666666666,13.0,,,,,,7.4,,10.0,,2021
Kashasha_Ikumba,Rubanda,1977.65,47.3,1.04,61.5,107.44444444444444,12.666666666666666,,,,,,5.1875,,26.666666666666668,,2021
Kataburaza,Kanungu,1343.7272727272727,49.63636363636363,1.945681818181818,16.636363636363637,190.2,,11.0,,1300.0,,,19.333333333333332,,14.666666666666666,28.333333333333332,2021
Katembe,Kanungu,1324.25,56.75,1.1445833333333333,20.916666666666668,289.7142857142857,,,,1300.0,130.0,,8.25,,96.25,70.83333333333333,2021
Katojo,Rubanda,1798.9181818181817,43.90909090909091,0.3181818181818182,42.27272727272727,152.0,84.0,,,,,,10.0,,12.5,,2021
Katungu,Rukungiri,1844.7400000000002,55.4,1.7600000000000002,109.5,75.0,,,,,,,3.0,,156.1,101.66666666666667,2021
Kazahi,Kanungu,1553.909090909091,47.63636363636363,1.6159090909090912,39.54545454545455,327.5,,8.0,,1300.0,,,3.0,,117.5,129.0,2021
Kazindiro_Nangara,Rubanda,1940.0249999999999,52.666666666666664,1.39625,43.166666666666664,122.66666666666667,5.75,,,,,,8.5,,10.0,,2021
Kengyeya,Mitooma,0.0,51.333333333333336,1.5854166666666665,43.333333333333336,220.0,,4.0,,,,,6.0,,0.0,,2021
Kibeho,Rukungiri,1807.6833333333334,51.916666666666664,1.175,32.5,140.0,,,,,,,,,56.6,100.0,2021
Kibishamwika,Mitooma,1251.090909090909,49.27272727272727,1.5727272727272725,75.45454545454545,112.57142857142857,,2.0,,,,,3.0,,125.0,166.66666666666666,2021
Kigarama,Rukungiri,1597.2166666666665,47.75,1.06183125,64.16666666666667,97.875,,,,,,,3.0,,84.22222222222223,67.5,2021
Kigongi,Rubanda,1910.6200000000001,51.5,1.3880000000000001,72.0,114.0,6.0,,,,,,3.8,,13.0,,2021
Kigoyi,Rukungiri,1536.8454545454545,54.0,0.75,33.63636363636363,98.57142857142857,,5.5,,52.5,,,4.375,,80.0,82.0,2021
Kihengamo_Nyamweru,Rubanda,1937.8636363636363,55.18181818181818,0.9954545454545456,48.81818181818182,154.9,8.0,,110.0,,,,8.375,,20.0,,2021
Kihorongwa,Rubanda,2007.8999999999999,48.416666666666664,0.19583333333333333,78.08333333333333,141.75,6.0,,130.0,,,,45.611111111111114,,40.0,,2021
Kihumuro,Kanungu,1413.7272727272727,43.0,1.0909090909090908,22.727272727272727,216.625,,11.0,28.0,1300.0,75.0,,,,64.66666666666667,86.25,2021
Kiniogo,Rukungiri,0.0,55.083333333333336,0.8250000000000001,14.583333333333334,75.4,,,,60.0,,,9.0,,81.42857142857143,75.0,2021
Kinisya,Rukungiri,1754.8666666666668,39.416666666666664,0.46883333333333327,15.416666666666666,95.28571428571429,,,90.0,360.0,,,10.5,,22.75,200.0,2021
Kirama,Mitooma,613.4545454545455,48.18181818181818,1.3263636363636364,40.90909090909091,133.4,,,,35.0,110.0,,4.0,,25.0,120.0,2021
