pre_village,pre_district,pre_cluster,GPS-Altitude,hhh_age,Time_to_collect_Water_for_Household_use_Minutes,Land_size_agriculture,Beans_total_yield,Irish_potatoes_total_yield,Cassava_total_yield,Sorghum_total_yield,Maize_total_yield,Millet_total_yield,Onions_total_yield,Sweet_potatoes_total_yield,Ground_Nuts_total_yield,Food_banana_total_yield,Coffee_total_yield
Gadumire_T/C,Kaliro,Gadumire,1048.9,64.0,2.0,0.0,,,,,,,,,,,
Bususwa,Kaliro,Gadumire,1036.6,24.0,20.0,,33.0,,,,80.0,,,,,3.0,
Busege,Kaliro,Panyolo,1038.2,38.0,240.0,0.4,,,,,,,,,,,
Busiro_Tabina,Kaliro,Panyolo,1041.3,78.0,120.0,,,,,,1000.0,,,,,,
Nabweyo,Kaliro,Gadumire,1047.9,27.0,10.0,1.8,,,,,400.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1029.1,70.0,120.0,1.0,,,,,60.0,34.0,,4.0,,1.0,
Nakisenyi,Kaliro,Panyolo,1023.2,30.0,60.0,,,,5.0,,200.0,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1044.4,40.0,180.0,1.0,,,,,240.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1042.1,32.0,20.0,1.0,,,,,360.0,,,,,,
Butambala,Kaliro,Butambala,1031.2,47.0,30.0,0.5,,,,,,,,,,,
Lake_Nakuwa,Kaliro,Panyolo,1026.5,80.0,80.0,0.8,,,,,300.0,,,,,5.0,
Lake_Nakuwa,Kaliro,Panyolo,1045.5,37.0,120.0,,,,,,,,,,,,
Busege,Kaliro,Panyolo,1024.8,29.0,40.0,1.3,45.0,,,,70.0,100.0,,,,,
Busege,Kaliro,Panyolo,1017.2,46.0,30.0,5.0,,,,,600.0,,,,,,
Bubalala,Kaliro,Butambala,1025.0,89.0,30.0,2.0,,,,,,,,,,,
Nyolo,Kaliro,Panyolo,1048.5,66.0,60.0,3.5,,,,,60.0,,,,,,
Bususwa,Kaliro,Gadumire,1010.1,38.0,120.0,,,,,,,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1034.1,75.0,240.0,0.25,,,,,160.0,,,,,0.0,
Busege,Kaliro,Panyolo,1045.0,53.0,120.0,,,,,,,,,,,,
Bugonya,Kaliro,Gadumire,1047.0,39.0,60.0,0.8,,,,,50.0,,,,,,
Bususwa,Kaliro,Gadumire,1057.2,20.0,60.0,,,,,,,,,,,,
Busiro,Kaliro,Panyolo,1041.1,19.0,15.0,,,,,,300.0,,,,,5.0,
Bubalala,Kaliro,Butambala,1022.8,62.0,60.0,0.5,,,,,1000.0,,,,,,
Nabweyo,Kaliro,Gadumire,1032.8,20.0,60.0,1.5,,,,,1000.0,,,,,,
Busiro_Cenral,Kaliro,Panyolo,1032.1,40.0,60.0,0.4,,,,,60.0,16.0,,,,,
Nabweyo,Kaliro,Gadumire,1040.9,60.0,60.0,1.0,,,,,36.0,,,,,15.0,
Nansohera_A,Kaliro,Bupyana,1042.3,45.0,60.0,,,,,,140.0,,,,,,
Nakisenyi,Kaliro,Panyolo,1034.5,29.0,28.0,0.5,,,,,100.0,,,,,24.0,
Iguliryo,Kaliro,Panyolo,1049.5,27.0,30.0,0.5,,,,,20.0,,,,,,
Iguliryo,Kaliro,Panyolo,1013.7,26.0,180.0,0.25,,,,,300.0,,,,,,
Gadumire_T/C,Kaliro,Gadumire,1038.3,31.0,20.0,1.0,,,,,300.0,,,,,,
Wamusuta,Kaliro,Gadumire,1015.8,50.0,40.0,0.5,,,,,60.0,30.0,,4.0,,1.0,
